Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
537.0781,0.0372016,-1.17549e-38,0.0418519,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0922636,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
537.5602,0.0748765,-1.17549e-38,0.0534694,0.014588,-1.17549e-38,-1.17549e-38,0.0886904,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
538.0423,0.107627,0.000191559,0.0617063,0.030798,-1.17549e-38,-1.17549e-38,0.0573344,0.0131236,-1.17549e-38,-1.17549e-38,0.0176079
538.5244,0.131919,0.019264,0.0610137,0.0362119,-1.17549e-38,0.00791619,0.0100136,0.0437463,-1.17549e-38,-1.17549e-38,0.055694
539.0065,0.145108,0.030143,0.0460885,0.0277304,-1.17549e-38,0.0240707,-1.17549e-38,0.06773,-1.17549e-38,-1.17549e-38,0.085563
539.4886,0.14538,0.0310743,0.0165275,0.0092343,-1.17549e-38,0.0328644,-1.17549e-38,0.0835883,-1.17549e-38,-1.17549e-38,0.100329
539.9708,0.132437,0.0240077,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0323817,-1.17549e-38,0.0898465,-1.17549e-38,-1.17549e-38,0.097351
540.4529,0.108399,0.012968,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0237504,-1.17549e-38,0.0858872,0.000411626,-1.17549e-38,0.0789331
540.935,0.0780059,0.00185702,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0109973,-1.17549e-38,0.072961,-1.17549e-38,-1.17549e-38,0.0510687
541.4171,0.0475542,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0125422,0.0543198,-1.17549e-38,-1.17549e-38,0.020783
541.8992,0.0228398,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0161225,0.0342546,-1.17549e-38,-1.17549e-38,-1.17549e-38
542.3813,0.00715094,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00663225,0.0167528,-1.17549e-38,-1.17549e-38,-1.17549e-38
542.8635,0.000524019,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00240793,-1.17549e-38,0.00467801,-1.17549e-38,0.0326197,-1.17549e-38
543.3456,0.000828603,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0125739,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0872478,-1.17549e-38
543.8277,0.00606578,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0220421,-1.17549e-38,0.00248537,-1.17549e-38,0.120903,-1.17549e-38
544.3098,0.0163379,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.028422,0.0107818,0.0122963,0.00604978,0.125258,-1.17549e-38
544.7919,0.0340106,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00612572,0.0307535,0.0221015,0.0263755,0.0225892,0.102833,-1.17549e-38
545.274,0.0617212,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0338179,0.0291367,0.0203911,0.0397576,0.0294307,0.0645803,-1.17549e-38
545.7562,0.0994854,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0567699,0.0241592,0.00201202,0.0467338,0.0257723,0.0247098,-1.17549e-38
546.2383,0.143112,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0738575,0.0165856,-1.17549e-38,0.0437484,0.0126588,-1.17549e-38,-1.17549e-38
