Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
3199.3267,0.660443,0.987297,1.19485,1.19867,1.11575,0.983063,0.910822,0.836856,0.826281,0.823783,0.835202,0.845107,0.836043,0.85996,0.865517,0.880931,0.848927,0.804116,0.760004,0.746496,0.727961,0.714888,0.719867,0.709224,0.721818,0.727494,0.744861,0.639559,0.475592
3199.8088,0.65253,0.976619,1.17685,1.18407,1.10208,0.974653,0.907072,0.827096,0.823387,0.826834,0.835437,0.847532,0.835833,0.856538,0.869214,0.88013,0.845437,0.807882,0.761929,0.747506,0.727593,0.717412,0.718248,0.703388,0.71338,0.721548,0.731324,0.632347,0.467456
3200.2908,0.644599,0.965399,1.15924,1.16985,1.08503,0.963116,0.903682,0.818914,0.819403,0.83088,0.835313,0.847237,0.835431,0.856693,0.873722,0.875442,0.841683,0.809167,0.765179,0.749165,0.727913,0.72004,0.715779,0.699067,0.703576,0.716157,0.716573,0.626897,0.461761
3200.7729,0.636417,0.951927,1.14221,1.1558,1.0657,0.949164,0.899742,0.813303,0.81445,0.834456,0.835116,0.843714,0.835116,0.860603,0.877178,0.867738,0.839037,0.807656,0.768927,0.751455,0.728516,0.722651,0.713232,0.69481,0.69381,0.709908,0.700547,0.622426,0.458497
3201.2551,0.627929,0.93563,1.12556,1.14182,1.04634,0.934656,0.894409,0.810579,0.809051,0.836553,0.834725,0.837711,0.835532,0.866756,0.878566,0.85939,0.837822,0.804112,0.772435,0.754318,0.729047,0.725004,0.711197,0.689946,0.685428,0.701665,0.683931,0.618082,0.456769
3201.7373,0.619504,0.917265,1.10884,1.12774,1.02909,0.921495,0.887239,0.81028,0.804078,0.836857,0.833643,0.830945,0.83716,0.872649,0.87809,0.853147,0.837424,0.800045,0.774955,0.757626,0.729453,0.726687,0.709398,0.684997,0.679033,0.691124,0.668023,0.613295,0.455111
3202.2192,0.611614,0.898342,1.0916,1.11341,1.01495,0.910625,0.878526,0.811273,0.800395,0.835583,0.83137,0.825327,0.839888,0.876175,0.876893,0.850685,0.836927,0.797092,0.775892,0.76102,0.73004,0.727249,0.706779,0.681274,0.674134,0.679111,0.654216,0.607806,0.452053
3202.7014,0.604161,0.880293,1.07354,1.09873,1.00354,0.90175,0.869363,0.812168,0.798429,0.833077,0.827847,0.822114,0.842971,0.876783,0.876323,0.851813,0.835805,0.796364,0.775232,0.763744,0.731279,0.7264,0.70224,0.679943,0.669385,0.667329,0.643422,0.601427,0.446647
3203.1836,0.596128,0.863894,1.05463,1.08384,0.993569,0.893872,0.861199,0.811896,0.798009,0.829543,0.823672,0.821488,0.845384,0.875624,0.877184,0.854878,0.834235,0.798035,0.773805,0.764729,0.733451,0.724096,0.69547,0.681143,0.663387,0.657524,0.635741,0.593851,0.438713
3203.6658,0.586055,0.849223,1.03512,1.06897,0.983699,0.886165,0.855064,0.810124,0.798564,0.825107,0.819947,0.822765,0.846358,0.874592,0.87937,0.85805,0.832871,0.801337,0.772976,0.76301,0.736323,0.720441,0.687289,0.683696,0.655592,0.650504,0.630569,0.584762,0.428791
3204.1477,0.573173,0.835987,1.01574,1.05434,0.973202,0.878524,0.850979,0.807237,0.799461,0.820144,0.817891,0.825029,0.845742,0.874946,0.882018,0.860492,0.832305,0.804949,0.773814,0.758348,0.739062,0.715514,0.679332,0.685554,0.646795,0.645638,0.627,0.574189,0.417918
3204.6299,0.558316,0.823892,0.997635,1.04014,0.962075,0.871422,0.848027,0.803904,0.800175,0.815545,0.81843,0.827739,0.844003,0.876477,0.884039,0.862569,0.832628,0.807631,0.776331,0.751663,0.740525,0.709323,0.67327,0.684768,0.638866,0.641239,0.624259,0.562793,0.407318
3205.1121,0.543775,0.812819,0.982051,1.02639,0.95069,0.865257,0.84511,0.800531,0.80021,0.812581,0.821923,0.830873,0.841887,0.877747,0.884708,0.865048,0.833413,0.808794,0.779412,0.744912,0.739836,0.701985,0.670028,0.680479,0.633866,0.635641,0.621859,0.551728,0.398051
3205.5942,0.532026,0.80275,0.969696,1.01301,0.939312,0.859765,0.841808,0.797019,0.799019,0.812302,0.828031,0.834572,0.840013,0.877193,0.884037,0.868066,0.834141,0.80872,0.781569,0.740341,0.736976,0.693982,0.669366,0.673423,0.633033,0.628255,0.619407,0.542064,0.390623
3206.0762,0.524194,0.793576,0.960222,0.999725,0.927836,0.853991,0.838606,0.792969,0.796227,0.814852,0.835658,0.838624,0.838665,0.874272,0.882778,0.870784,0.83472,0.808306,0.781964,0.739447,0.732952,0.686255,0.670006,0.665678,0.636186,0.619914,0.616288,0.534149,0.384759
3206.5583,0.519395,0.784934,0.952223,0.986076,0.915852,0.84689,0.836258,0.788131,0.792113,0.819215,0.843039,0.842287,0.837886,0.86991,0.882071,0.87202,0.835674,0.808487,0.780935,0.742252,0.729355,0.679967,0.670244,0.659717,0.641815,0.612299,0.61158,0.527398,0.379549
3207.0405,0.515435,0.776186,0.943868,0.971572,0.902952,0.838122,0.834812,0.78273,0.787933,0.823705,0.848079,0.844659,0.837746,0.865974,0.882875,0.871273,0.837809,0.809674,0.779623,0.747352,0.727441,0.676045,0.668793,0.657221,0.647711,0.606886,0.604388,0.520713,0.374044
3207.5227,0.510268,0.766563,0.933774,0.955929,0.889095,0.828428,0.833184,0.777391,0.785566,0.82695,0.849012,0.845333,0.838531,0.864203,0.885431,0.869238,0.841551,0.81156,0.779027,0.752731,0.727319,0.674774,0.665465,0.658211,0.651731,0.604098,0.594436,0.513224,0.367985
3208.0046,0.503077,0.755426,0.921535,0.939307,0.87485,0.819259,0.829754,0.772741,0.786495,0.8287,0.845181,0.844771,0.840663,0.865255,0.888981,0.867346,0.846456,0.813381,0.779244,0.756847,0.727799,0.675686,0.66132,0.660951,0.652341,0.603126,0.582465,0.504783,0.362099
3208.4868,0.494247,0.742538,0.907578,0.92232,0.861373,0.811853,0.82359,0.768984,0.790744,0.829848,0.837498,0.844058,0.84439,0.868451,0.891925,0.866704,0.851279,0.814442,0.779442,0.759326,0.727092,0.677784,0.658139,0.662692,0.648819,0.602378,0.570068,0.49585,0.357643
3208.969,0.484492,0.728211,0.892567,0.905795,0.850052,0.806369,0.815326,0.765761,0.796589,0.831585,0.828222,0.844143,0.849416,0.872256,0.89246,0.867315,0.854602,0.814557,0.778561,0.760861,0.723949,0.679948,0.657439,0.660905,0.641222,0.600174,0.558986,0.486921,0.355377
3209.4512,0.474062,0.713217,0.876884,0.890414,0.841868,0.801695,0.806906,0.762379,0.801454,0.834279,0.820013,0.845175,0.854751,0.875184,0.889454,0.868189,0.855628,0.814124,0.776185,0.762445,0.718501,0.681321,0.659565,0.654422,0.630268,0.595336,0.550292,0.478038,0.354728
