Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
530.8105,0.0144148,-1.17549e-38,0.102868,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0370249,-1.17549e-38,-1.17549e-38,0.00788668,-1.17549e-38,0.0434802,-1.17549e-38,-1.17549e-38
531.2927,0.0395931,-1.17549e-38,0.106701,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0379944,-1.17549e-38,-1.17549e-38,0.013091,-1.17549e-38,0.0374853,-1.17549e-38,-1.17549e-38
531.7748,0.0726886,0.0206751,0.0869054,7.01599e-05,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0299116,-1.17549e-38,-1.17549e-38,0.0197659,-1.17549e-38,0.0268776,-1.17549e-38,0.0113998
532.2569,0.101603,0.036541,0.0569595,0.00687566,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0172193,-1.17549e-38,-1.17549e-38,0.0243894,-1.17549e-38,0.0109891,-1.17549e-38,0.0311396
532.739,0.116529,0.0432336,0.031919,0.00993774,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00444562,-1.17549e-38,0.0258818,0.0235786,-1.17549e-38,-1.17549e-38,0.0177958,0.048582
533.2211,0.115168,0.0388296,0.0198574,0.00693859,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.051807,0.0153196,8.14251e-05,-1.17549e-38,0.0488512,0.0573952
533.7032,0.102462,0.0218455,0.0179034,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0678827,0.000414057,0.0199771,-1.17549e-38,0.0837455,0.0532115
534.1854,0.0859771,-1.17549e-38,0.0157417,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0725675,-1.17549e-38,0.0417604,-1.17549e-38,0.113184,0.0350655
534.6675,0.0710117,-1.17549e-38,0.00404435,-1.17549e-38,0.00198781,-1.17549e-38,0.00521036,0.00812863,-1.17549e-38,0.065077,-1.17549e-38,0.05793,-1.17549e-38,0.12496,0.00622237
535.1496,0.0588282,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0374733,-1.17549e-38,0.0109481,0.0238591,-1.17549e-38,0.04748,-1.17549e-38,0.0634995,-1.17549e-38,0.110362,-1.17549e-38
535.6317,0.0482733,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0580926,-1.17549e-38,0.0106687,0.0393973,-1.17549e-38,0.025591,-1.17549e-38,0.0579473,-1.17549e-38,0.0706578,-1.17549e-38
536.1138,0.0384192,-1.17549e-38,-1.17549e-38,0.00739824,0.0569902,-1.17549e-38,0.00360131,0.0493258,-1.17549e-38,0.00702995,-1.17549e-38,0.044428,-1.17549e-38,0.0193731,-1.17549e-38
536.5959,0.0296131,-1.17549e-38,-1.17549e-38,0.0149036,0.0357843,-1.17549e-38,-1.17549e-38,0.0497844,-1.17549e-38,-1.17549e-38,0.00485354,0.0273432,-1.17549e-38,-1.17549e-38,-1.17549e-38
537.0781,0.0222911,0.0311473,-1.17549e-38,0.018009,0.00372557,-1.17549e-38,-1.17549e-38,0.0408432,-1.17549e-38,-1.17549e-38,0.0187266,0.0101556,-1.17549e-38,-1.17549e-38,-1.17549e-38
537.5602,0.0151546,0.0637666,-1.17549e-38,0.0173257,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0270031,-1.17549e-38,0.00224047,0.0265934,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
538.0423,0.00481184,0.0767355,-1.17549e-38,0.0149085,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.014921,-1.17549e-38,0.00650842,0.0289233,-1.17549e-38,0.00752542,0.028688,0.0180684
538.5244,-1.17549e-38,0.0668925,-1.17549e-38,0.0123771,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00948808,0.0125726,0.00585143,0.0278233,-1.17549e-38,0.0452999,0.0743926,0.0303027
539.0065,-1.17549e-38,0.0391005,0.0245184,0.00977727,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0108497,0.0324952,-1.17549e-38,0.0255219,-1.17549e-38,0.0758748,0.0994255,0.0312617
539.4886,-1.17549e-38,0.00374381,0.0520252,0.00583964,-1.17549e-38,-1.17549e-38,0.000810721,0.0145743,0.0362133,-1.17549e-38,0.0238668,-1.17549e-38,0.0902727,0.09157,0.0268009
539.9708,-1.17549e-38,-1.17549e-38,0.0751553,-1.17549e-38,-1.17549e-38,0.00217404,0.00921287,0.01506,0.0244295,-1.17549e-38,0.0244891,-1.17549e-38,0.0864791,0.05316,0.0241398
540.4529,-1.17549e-38,-1.17549e-38,0.0864568,-1.17549e-38,-1.17549e-38,0.0105391,0.015378,0.00984671,0.00247124,-1.17549e-38,0.0285529,-1.17549e-38,0.0683577,-1.17549e-38,0.0269814
540.935,-1.17549e-38,-1.17549e-38,0.0822775,-1.17549e-38,0.015469,0.00322019,0.0203449,0.00162746,-1.17549e-38,-1.17549e-38,0.0356508,-1.17549e-38,0.0418865,-1.17549e-38,0.0333155
541.4171,-1.17549e-38,-1.17549e-38,0.0652879,-1.17549e-38,0.0350826,-1.17549e-38,0.0261685,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0427403,-1.17549e-38,0.011945,-1.17549e-38,0.0371866
541.8992,-1.17549e-38,-1.17549e-38,0.0422419,-1.17549e-38,0.0511994,-1.17549e-38,0.0347052,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0446193,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.032891
542.3813,-1.17549e-38,0.00579872,0.01909,-1.17549e-38,0.0599766,-1.17549e-38,0.0461858,0.00945889,-1.17549e-38,-1.17549e-38,0.0364724,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0185226
542.8635,0.0159699,0.0193619,-1.17549e-38,-1.17549e-38,0.059664,-1.17549e-38,0.0583775,0.0237382,-1.17549e-38,-1.17549e-38,0.0171884,0.00667297,-1.17549e-38,-1.17549e-38,-1.17549e-38
543.3456,0.0527539,0.0241501,-1.17549e-38,-1.17549e-38,0.0521097,-1.17549e-38,0.0670961,0.0359862,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.02369,-1.17549e-38,-1.17549e-38,-1.17549e-38
543.8277,0.0675573,0.0207504,-1.17549e-38,-1.17549e-38,0.0423624,0.0357182,0.0681169,0.042836,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0412648,-1.17549e-38,-1.17549e-38,-1.17549e-38
544.3098,0.0566456,0.0117934,-1.17549e-38,-1.17549e-38,0.0366335,0.0747633,0.059574,0.0448781,0.0230655,-1.17549e-38,-1.17549e-38,0.0557687,-1.17549e-38,0.0116501,-1.17549e-38
544.7919,0.0257146,0.000816918,-1.17549e-38,-1.17549e-38,0.0396779,0.105987,0.0434446,0.0453474,0.0598349,-1.17549e-38,-1.17549e-38,0.0632491,-1.17549e-38,0.0560584,-1.17549e-38
545.274,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0527174,0.121563,0.025056,0.0473449,0.0848849,0.0298484,-1.17549e-38,0.0609141,0.013604,0.086036,-1.17549e-38
545.7562,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0727207,0.118339,0.0106244,0.0518209,0.0925961,0.0713598,-1.17549e-38,0.048578,0.0324474,0.0928434,-1.17549e-38
546.2383,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0933896,0.0990761,0.00412787,0.0576236,0.0835614,0.0980665,0.000664495,0.0292361,0.0410622,0.0738188,-1.17549e-38
546.7204,-1.17549e-38,0.00561772,-1.17549e-38,-1.17549e-38,0.107489,0.0714386,0.00545105,0.0630981,0.0638728,0.102962,0.00852885,0.00816137,0.0418127,0.0350617,0.0216043
547.2025,-1.17549e-38,0.024993,-1.17549e-38,0.00339419,0.109443,0.0449785,0.0109346,0.0675086,0.0418882,0.0872609,0.00932465,-1.17549e-38,0.0383399,-1.17549e-38,0.0363083
547.6846,0.00788318,0.0447162,-1.17549e-38,0.0206794,0.0970503,0.0275714,0.01573,0.0710115,0.0246807,0.0586782,0.0076512,-1.17549e-38,0.032792,-1.17549e-38,0.0372895
548.1667,0.0199238,0.0581953,-1.17549e-38,0.0309954,0.0718804,0.0228344,0.0162638,0.0734749,0.01613,0.0268924,0.00836855,-1.17549e-38,0.0255708,-1.17549e-38,0.0272632
548.6489,0.0236496,0.0613189,-1.17549e-38,0.0323538,0.0387211,0.0291715,0.0115043,0.0735238,0.0169634,-1.17549e-38,0.0134383,-1.17549e-38,0.0173468,-1.17549e-38,0.0132888
549.131,0.0250323,0.0550407,0.0184942,0.0281569,0.00452951,0.0403752,0.00283246,0.068964,0.0257057,-1.17549e-38,0.020957,-1.17549e-38,0.0109504,-1.17549e-38,0.00256248
549.6131,0.0297818,0.0452366,0.035345,0.0253824,-1.17549e-38,0.0477241,-1.17549e-38,0.058592,0.0393771,-1.17549e-38,0.0265765,-1.17549e-38,0.0107585,0.0138805,-1.17549e-38
550.0952,0.0383677,0.0391915,0.0436641,0.0301018,-1.17549e-38,0.0435097,-1.17549e-38,0.0441479,0.0535847,-1.17549e-38,0.0262668,-1.17549e-38,0.0193818,0.0190053,0.000432193
550.5773,0.0454313,0.0405737,0.0445237,0.043268,-1.17549e-38,0.0251151,-1.17549e-38,0.0306687,0.062605,-1.17549e-38,0.0187874,-1.17549e-38,0.0342575,0.00205226,0.00452369
551.0594,0.0439955,0.0465508,0.040698,0.0599167,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0243378,0.0604225,-1.17549e-38,0.00651345,-1.17549e-38,0.0475851,-1.17549e-38,0.00821557
551.5416,0.0311267,0.0495941,0.0336438,0.0724385,0.00194069,-1.17549e-38,-1.17549e-38,0.028766,0.0431115,0.00814589,-1.17549e-38,-1.17549e-38,0.0505516,-1.17549e-38,0.0109905
552.0237,0.0106713,0.0429485,0.0227791,0.0754016,0.026762,-1.17549e-38,-1.17549e-38,0.0420064,0.0117728,0.0222095,-1.17549e-38,-1.17549e-38,0.0390057,-1.17549e-38,0.0133747
552.5058,-1.17549e-38,0.0258508,0.00770173,0.0684458,0.0472583,-1.17549e-38,-1.17549e-38,0.0564199,-1.17549e-38,0.0289175,-1.17549e-38,-1.17549e-38,0.0163057,-1.17549e-38,0.0149831
552.9879,-1.17549e-38,0.00472482,-1.17549e-38,0.0555638,0.0607757,0.0138107,0.00375782,0.0619678,-1.17549e-38,0.0263597,-1.17549e-38,0.0131734,-1.17549e-38,0.0185949,0.0139966
553.47,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0417822,0.0675195,0.058122,0.00467692,0.0515326,-1.17549e-38,0.0165172,0.0139533,0.035694,-1.17549e-38,0.0575114,0.00873576
553.9521,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0298686,0.0691414,0.0926793,0.00179904,0.0253427,-1.17549e-38,0.00441648,0.0276482,0.0506565,-1.17549e-38,0.0818744,-1.17549e-38
554.4343,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0193738,0.0673317,0.103298,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0346324,0.0511345,-1.17549e-38,0.0838031,-1.17549e-38
554.9164,0.000273054,0.00829633,0.0176489,0.00838845,0.0633705,0.0871164,-1.17549e-38,-1.17549e-38,0.0365065,-1.17549e-38,0.0322109,0.0367798,-1.17549e-38,0.0623722,-1.17549e-38
555.3985,-1.17549e-38,0.0150279,0.0443216,-1.17549e-38,0.0584836,0.0539155,-1.17549e-38,-1.17549e-38,0.065547,0.00168517,0.0218666,0.014847,-1.17549e-38,0.0223063,-1.17549e-38
555.8806,0.000638596,0.0102999,0.0638805,-1.17549e-38,0.0540006,0.0207542,-1.17549e-38,-1.17549e-38,0.0647573,0.0150805,0.00828977,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00361284
556.3627,0.0121597,-1.17549e-38,0.071861,-1.17549e-38,0.050634,0.0034849,-1.17549e-38,-1.17549e-38,0.0342402,0.0310159,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0170918
556.8448,0.0361806,-1.17549e-38,0.0699396,-1.17549e-38,0.04739,0.00999106,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0452859,-1.17549e-38,0.00148535,-1.17549e-38,-1.17549e-38,0.0269644
