"Wavelength, µm","n","k"
1.30283,1.40095,0.0000250176
1.30291,1.40095,0.000025051
1.30299,1.40095,0.0000250896
1.30307,1.40095,0.0000251302
1.30315,1.40095,0.0000251746
1.30324,1.40095,0.0000252289
1.30332,1.40095,0.0000252976
1.3034,1.40095,0.0000253811
1.30348,1.40095,0.0000254755
1.30356,1.40095,0.0000255763
1.30365,1.40095,0.0000256813
1.30373,1.40095,0.0000257917
1.30381,1.40095,0.000025912
1.30389,1.40095,0.0000260467
1.30397,1.40095,0.0000261961
1.30406,1.40095,0.0000263542
1.30414,1.40095,0.0000265108
1.30422,1.40095,0.0000266579
1.3043,1.40095,0.0000267931
1.30438,1.40095,0.0000269182
1.30447,1.40095,0.0000270356
1.30455,1.40095,0.0000271465
1.30463,1.40095,0.0000272525
1.30471,1.40095,0.0000273558
1.30479,1.40095,0.000027459
1.30488,1.40095,0.0000275625
1.30496,1.40095,0.0000276654
1.30504,1.40095,0.000027767
1.30512,1.40095,0.0000278678
1.3052,1.40095,0.0000279686
1.30529,1.40095,0.0000280706
1.30537,1.40095,0.0000281745
1.30545,1.40095,0.0000282799
1.30553,1.40095,0.0000283835
1.30562,1.40095,0.0000284791
1.3057,1.40095,0.0000285624
1.30578,1.40095,0.0000286356
1.30586,1.40095,0.0000287081
1.30594,1.40095,0.000028791
1.30603,1.40095,0.0000288906
1.30611,1.40095,0.0000290073
1.30619,1.40094,0.0000291394
1.30627,1.40095,0.0000292863
1.30636,1.40094,0.0000294494
1.30644,1.40095,0.0000296301
1.30652,1.40094,0.0000298291
1.3066,1.40094,0.0000300461
1.30669,1.40094,0.0000302785
1.30677,1.40094,0.0000305201
1.30685,1.40094,0.0000307619
1.30693,1.40095,0.0000309954
1.30701,1.40095,0.0000312153
1.3071,1.40095,0.0000314182
1.30718,1.40095,0.0000316008
1.30726,1.40095,0.0000317584
1.30734,1.40095,0.0000318859
1.30743,1.40095,0.0000319795
1.30751,1.40095,0.0000320358
1.30759,1.40095,0.0000320517
1.30767,1.40095,0.0000320255
1.30776,1.40095,0.0000319589
1.30784,1.40095,0.0000318564
1.30792,1.40095,0.000031723
1.308,1.40095,0.0000315615
1.30809,1.40095,0.0000313745
1.30817,1.40095,0.0000311674
1.30825,1.40095,0.0000309505
1.30833,1.40095,0.0000307364
1.30842,1.40095,0.0000305351
1.3085,1.40095,0.0000303507
1.30858,1.40095,0.0000301826
1.30866,1.40095,0.0000300289
1.30875,1.40095,0.0000298896
1.30883,1.40095,0.0000297675
1.30891,1.40095,0.0000296665
1.30899,1.40095,0.0000295874
1.30908,1.40095,0.0000295264
1.30916,1.40095,0.0000294751
1.30924,1.40095,0.0000294238
1.30932,1.40095,0.0000293651
1.30941,1.40095,0.0000292971
1.30949,1.40095,0.0000292224
1.30957,1.40095,0.0000291441
1.30966,1.40095,0.0000290628
1.30974,1.40095,0.0000289743
1.30982,1.40095,0.0000288728
1.3099,1.40095,0.0000287546
1.30999,1.40095,0.0000286206
1.31007,1.40095,0.0000284748
1.31015,1.40095,0.0000283218
1.31023,1.40095,0.0000281645
1.31032,1.40095,0.0000280043
1.3104,1.40095,0.0000278419
1.31048,1.40095,0.0000276773
1.31057,1.40095,0.0000275111
1.31065,1.40095,0.0000273452
1.31073,1.40095,0.0000271831
1.31081,1.40095,0.0000270289
1.3109,1.40095,0.0000268837
1.31098,1.40095,0.0000267446
1.31106,1.40095,0.0000266062
1.31115,1.40095,0.0000264642
1.31123,1.40095,0.0000263162
1.31131,1.40095,0.0000261609
1.31139,1.40095,0.0000259957
1.31148,1.40095,0.0000258163
1.31156,1.40095,0.0000256193
1.31164,1.40095,0.0000254029
1.31173,1.40095,0.0000251673
1.31181,1.40095,0.0000249143
1.31189,1.40095,0.0000246477
1.31198,1.40095,0.0000243731
1.31206,1.40095,0.0000240975
1.31214,1.40095,0.0000238279
1.31222,1.40095,0.0000235712
1.31231,1.40095,0.0000233321
1.31239,1.40095,0.0000231117
1.31247,1.40095,0.0000229059
1.31256,1.40095,0.0000227068
1.31264,1.40095,0.0000225075
1.31272,1.40095,0.0000223052
1.31281,1.40095,0.0000221009
1.31289,1.40095,0.0000218944
1.31297,1.40095,0.0000216786
1.31306,1.40095,0.0000214396
1.31314,1.40095,0.0000211628
1.31322,1.40095,0.0000208414
1.3133,1.40095,0.0000204812
1.31339,1.40095,0.0000200973
1.31347,1.40095,0.0000197051
1.31355,1.40095,0.0000193114
1.31364,1.40095,0.0000189124
1.31372,1.40095,0.0000184992
1.3138,1.40095,0.0000180673
1.31389,1.40095,0.0000176219
1.31397,1.40095,0.0000171753
1.31405,1.40095,0.0000167406
1.31414,1.40095,0.0000163237
1.31422,1.40095,0.0000159222
1.3143,1.40095,0.0000155279
1.31439,1.40095,0.0000151514
1.31447,1.40095,0.0000149518
1.31455,1.40095,0.0000147547
1.31464,1.40095,0.0000145592
1.31472,1.40095,0.0000143651
1.3148,1.40094,0.0000141719
1.31489,1.40094,0.0000139798
1.31497,1.40094,0.0000137889
1.31505,1.40094,0.0000135994
1.31514,1.40094,0.0000134116
1.31522,1.40094,0.0000132259
1.3153,1.40094,0.0000130428
1.31539,1.40094,0.0000128629
1.31547,1.40094,0.0000126871
1.31555,1.40094,0.0000125163
1.31564,1.40094,0.0000123517
1.31572,1.40094,0.0000121943
1.3158,1.40094,0.0000120453
1.31589,1.40094,0.0000119053
1.31597,1.40094,0.0000117747
1.31605,1.40094,0.0000116533
1.31614,1.40094,0.0000115409
1.31622,1.40094,0.000011437
1.31631,1.40094,0.0000113411
1.31639,1.40094,0.0000112521
1.31647,1.40094,0.0000111686
1.31656,1.40094,0.0000110889
1.31664,1.40094,0.0000110114
1.31672,1.40094,0.0000109347
1.31681,1.40094,0.000010858
1.31689,1.40094,0.0000107804
1.31697,1.40094,0.000010702
1.31706,1.40094,0.0000106224
1.31714,1.40094,0.0000105417
1.31722,1.40094,0.0000104803
1.31731,1.40094,0.0000104189
1.31739,1.40094,0.000010358
1.31748,1.40093,0.0000102983
1.31756,1.40093,0.0000102404
1.31764,1.40093,0.0000101847
1.31773,1.40093,0.0000101318
1.31781,1.40093,0.0000100819
1.31789,1.40093,0.0000100352
1.31798,1.40093,0.00000999155
1.31806,1.40093,0.0000099509
1.31815,1.40093,0.00000991279
1.31823,1.40093,0.00000987687
1.31831,1.40093,0.00000984255
1.3184,1.40093,0.00000980936
1.31848,1.40093,0.00000977657
1.31856,1.40093,0.00000974354
1.31865,1.40093,0.00000970939
1.31873,1.40093,0.00000967349
1.31882,1.40093,0.00000963549
1.3189,1.40093,0.00000959523
1.31898,1.40093,0.00000955307
1.31907,1.40093,0.00000950922
1.31915,1.40093,0.00000946401
1.31924,1.40093,0.00000941735
1.31932,1.40093,0.00000936932
1.3194,1.40093,0.00000931987
1.31949,1.40093,0.0000092693
1.31957,1.40093,0.00000921776
1.31966,1.40093,0.0000091655
1.31974,1.40093,0.00000911228
1.31982,1.40093,0.00000905774
1.31991,1.40093,0.00000900114
1.31999,1.40093,0.00000894204
1.32008,1.40093,0.00000888004
1.32016,1.40093,0.00000881522
1.32024,1.40093,0.00000874782
1.32033,1.40093,0.00000866655
1.32041,1.40093,0.00000859556
1.3205,1.40093,0.00000852288
1.32058,1.40093,0.00000844885
1.32066,1.40093,0.00000837382
1.32075,1.40093,0.00000829811
1.32083,1.40092,0.00000822205
1.32092,1.40092,0.00000814592
1.321,1.40092,0.00000807003
1.32108,1.40092,0.00000799463
1.32117,1.40092,0.00000791993
1.32125,1.40092,0.00000784606
1.32134,1.40092,0.00000777304
1.32142,1.40092,0.00000770088
1.32151,1.40092,0.00000764865
1.32159,1.40092,0.0000075967
1.32167,1.40092,0.00000754497
1.32176,1.40092,0.00000749347
1.32184,1.40092,0.00000744224
1.32193,1.40092,0.00000739121
1.32201,1.40092,0.00000734044
1.3221,1.40092,0.00000728991
1.32218,1.40092,0.00000723969
1.32226,1.40092,0.00000718976
1.32235,1.40092,0.00000714022
1.32243,1.40092,0.00000709105
1.32252,1.40092,0.00000704234
1.3226,1.40092,0.00000699407
1.32269,1.40092,0.00000694633
1.32277,1.40092,0.00000689908
1.32285,1.40092,0.00000685237
1.32294,1.40092,0.00000680612
1.32302,1.40092,0.00000676036
1.32311,1.40092,0.00000671498
1.32319,1.40092,0.00000666996
1.32328,1.40092,0.00000662621
1.32336,1.40092,0.0000065836
1.32345,1.40092,0.0000065421
1.32353,1.40092,0.00000650156
1.32361,1.40092,0.00000646193
1.3237,1.40092,0.00000642311
1.32378,1.40092,0.00000638513
1.32387,1.40092,0.00000634799
1.32395,1.40092,0.00000631185
1.32404,1.40091,0.00000627677
1.32412,1.40091,0.00000624295
1.32421,1.40091,0.00000620952
1.32429,1.40091,0.00000617671
1.32437,1.40091,0.00000614463
1.32446,1.40091,0.00000611351
1.32454,1.40091,0.00000608345
1.32463,1.40091,0.00000605456
1.32471,1.40091,0.00000602674
1.3248,1.40091,0.00000599987
1.32488,1.40091,0.00000597375
1.32497,1.40091,0.00000594804
1.32505,1.40091,0.00000592253
1.32514,1.40091,0.00000589686
1.32522,1.40091,0.00000587075
1.32531,1.40091,0.00000584382
1.32539,1.40091,0.00000581576
1.32548,1.40091,0.00000578616
1.32556,1.40091,0.00000575482
1.32564,1.40091,0.00000572147
1.32573,1.40091,0.00000568607
1.32581,1.40091,0.00000564854
1.3259,1.40091,0.00000560889
1.32598,1.40091,0.00000556704
1.32607,1.40091,0.00000552304
1.32615,1.40091,0.00000547684
1.32624,1.40091,0.00000542857
1.32632,1.40091,0.00000537835
1.32641,1.40091,0.00000532639
1.32649,1.40091,0.00000527297
1.32658,1.40091,0.00000521829
1.32666,1.40091,0.00000516265
1.32675,1.40091,0.00000510623
1.32683,1.40091,0.00000504937
1.32692,1.40091,0.00000496457
1.327,1.40091,0.00000488025
1.32709,1.40091,0.0000047973
1.32717,1.40091,0.00000471649
1.32726,1.40091,0.0000046384
