"Wavelength, µm","n","k"
1.3199,1.31285,0.0000275597
1.31999,1.31285,0.0000275524
1.32007,1.31285,0.0000275451
1.32015,1.31285,0.0000275394
1.32024,1.31285,0.0000275368
1.32032,1.31285,0.0000275377
1.32041,1.31284,0.000027541
1.32049,1.31284,0.0000275459
1.32057,1.31284,0.0000275518
1.32066,1.31284,0.0000275573
1.32074,1.31284,0.0000275606
1.32083,1.31284,0.00002756
1.32091,1.31284,0.0000275551
1.32099,1.31284,0.0000275473
1.32108,1.31284,0.0000275386
1.32116,1.31284,0.0000275308
1.32125,1.31284,0.0000275249
1.32133,1.31284,0.0000275212
1.32142,1.31284,0.0000275192
1.3215,1.31284,0.0000275181
1.32158,1.31284,0.0000275165
1.32167,1.31284,0.0000275128
1.32175,1.31284,0.0000275062
1.32184,1.31284,0.0000274969
1.32192,1.31284,0.0000274872
1.322,1.31284,0.0000274795
1.32209,1.31284,0.0000274756
1.32217,1.31284,0.0000274747
1.32226,1.31284,0.0000274744
1.32234,1.31283,0.0000274713
1.32243,1.31283,0.0000274637
1.32251,1.31283,0.0000274521
1.3226,1.31283,0.0000274376
1.32268,1.31283,0.0000274215
1.32276,1.31283,0.0000274047
1.32285,1.31283,0.0000273887
1.32293,1.31283,0.0000273744
1.32302,1.31283,0.0000273621
1.3231,1.31283,0.0000273508
1.32319,1.31283,0.0000273398
1.32327,1.31283,0.0000273298
1.32335,1.31283,0.0000273222
1.32344,1.31283,0.0000273172
1.32352,1.31283,0.0000273131
1.32361,1.31283,0.0000273072
1.32369,1.31283,0.000027298
1.32378,1.31283,0.0000272862
1.32386,1.31283,0.0000272747
1.32395,1.31283,0.0000272654
1.32403,1.31283,0.0000272589
1.32411,1.31283,0.0000272541
1.3242,1.31283,0.0000272498
1.32428,1.31282,0.0000272448
1.32437,1.31282,0.000027238
1.32445,1.31282,0.0000272288
1.32454,1.31282,0.0000272177
1.32462,1.31282,0.0000272064
1.32471,1.31282,0.0000271977
1.32479,1.31282,0.0000271938
1.32488,1.31282,0.0000271942
1.32496,1.31282,0.0000271964
1.32505,1.31282,0.0000271974
1.32513,1.31282,0.0000271955
1.32521,1.31282,0.000027191
1.3253,1.31282,0.000027185
