"Angle of incidence, deg.","S-polarized","P-polarized","non-polarized"
7.999999999999988,0.9892099174798527,0.9889964290409333,0.989103173260393
8.099999999999987,0.9892125854737901,0.988993709484794,0.9891031474792921
8.199999999999987,0.9892152863807453,0.9889909550576872,0.9891031207192162
8.299999999999986,0.9892180201922258,0.9889881657186791,0.9891030929554525
8.399999999999986,0.9892207868996353,0.9889853414262944,0.9891030641629648
8.499999999999986,0.9892235864942748,0.9889824821385108,0.9891030343163928
8.599999999999985,0.989226418967342,0.9889795878127616,0.9891030033900519
8.699999999999985,0.9892292843099316,0.9889766584059333,0.9891029713579325
8.799999999999985,0.9892321825130359,0.9889736938743627,0.9891029381936993
8.899999999999984,0.9892351135675428,0.9889706941738367,0.9891029038706898
8.999999999999984,0.9892380774642388,0.9889676592595906,0.9891028683619147
9.099999999999984,0.9892410741938064,0.9889645890863035,0.989102831640055
