Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
542.8635,0.0607182,0.0556888,-1.17549e-38,0.00826929,-1.17549e-38,0.0969637,0.0241527,-1.17549e-38,0.0809468,0.0771616,0.112913
543.3456,0.0596496,0.0185312,-1.17549e-38,0.00918696,-1.17549e-38,0.0647739,0.0306185,0.00228205,0.058665,0.0876475,0.0961624
543.8277,0.0456919,-1.17549e-38,-1.17549e-38,0.00952309,-1.17549e-38,0.0301647,0.0385473,0.0279442,0.0369028,0.0758838,0.0611099
544.3098,0.0275035,-1.17549e-38,-1.17549e-38,0.00519279,-1.17549e-38,0.00100752,0.0448342,0.0548316,0.0153339,0.0448727,0.0201022
544.7919,0.0148904,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0478583,0.0798913,-1.17549e-38,0.00775179,-1.17549e-38
545.274,0.0136362,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0470063,0.100046,-1.17549e-38,-1.17549e-38,-1.17549e-38
545.7562,0.0232653,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0412226,0.11186,-1.17549e-38,-1.17549e-38,-1.17549e-38
546.2383,0.0385566,-1.17549e-38,0.0129304,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0284594,0.111589,-1.17549e-38,0.0048417,-1.17549e-38
546.7204,0.0531071,-1.17549e-38,0.0287777,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00707495,0.0963866,-1.17549e-38,0.037319,-1.17549e-38
547.2025,0.0622476,0.00221682,0.0367029,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0665009,-1.17549e-38,0.0586601,-1.17549e-38
547.6846,0.0638684,0.00400114,0.0365253,0.0129704,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.027061,-1.17549e-38,0.0548225,-1.17549e-38
548.1667,0.0577924,-1.17549e-38,0.0320169,0.0310485,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0259998,-1.17549e-38
548.6489,0.0451216,-1.17549e-38,0.028063,0.0428873,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
549.131,0.0281093,-1.17549e-38,0.0275417,0.0468731,-1.17549e-38,0.0101843,-1.17549e-38,-1.17549e-38,0.0171981,-1.17549e-38,-1.17549e-38
549.6131,0.0099491,-1.17549e-38,0.029846,0.0430256,-1.17549e-38,0.0352937,-1.17549e-38,-1.17549e-38,0.0447556,-1.17549e-38,-1.17549e-38
550.0952,-1.17549e-38,-1.17549e-38,0.0318438,0.0322414,-1.17549e-38,0.0455056,-1.17549e-38,-1.17549e-38,0.0664495,-1.17549e-38,-1.17549e-38
550.5773,-1.17549e-38,0.0185708,0.0304964,0.0160199,-1.17549e-38,0.0438137,-1.17549e-38,0.0132571,0.0780486,-1.17549e-38,-1.17549e-38
551.0594,-1.17549e-38,0.0574437,0.0251851,-1.17549e-38,-1.17549e-38,0.0372164,-1.17549e-38,0.0276719,0.080154,0.0127485,-1.17549e-38
551.5416,-1.17549e-38,0.0818423,0.0180328,-1.17549e-38,-1.17549e-38,0.0330926,-1.17549e-38,0.0288451,0.0770874,0.0330862,0.0152512
552.0237,-1.17549e-38,0.0758729,0.0121191,-1.17549e-38,-1.17549e-38,0.0358894,-1.17549e-38,0.0215375,0.0735672,0.0430074,0.0433097
552.5058,-1.17549e-38,0.0381519,0.00907607,-1.17549e-38,-1.17549e-38,0.0453282,-1.17549e-38,0.0142642,0.0718173,0.0469249,0.0564298
552.9879,-1.17549e-38,-1.17549e-38,0.00787897,-1.17549e-38,-1.17549e-38,0.0564565,-1.17549e-38,0.0138191,0.0708403,0.0516193,0.0572428
553.47,-1.17549e-38,-1.17549e-38,0.00573015,-1.17549e-38,-1.17549e-38,0.0614861,-1.17549e-38,0.0216735,0.0675543,0.0627848,0.0524954
553.9521,-1.17549e-38,-1.17549e-38,0.000511793,-1.17549e-38,0.0247788,0.0531566,-1.17549e-38,0.0338823,0.0583404,0.0831117,0.0481134
554.4343,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0382701,0.0286635,-1.17549e-38,0.043869,0.0400205,0.111201,0.0457627
554.9164,0.00908245,0.0384829,-1.17549e-38,0.00408961,0.0327824,-1.17549e-38,-1.17549e-38,0.0459263,0.0105891,0.140792,0.0430149
555.3985,0.0183257,0.0835472,-1.17549e-38,0.0167911,0.0155748,-1.17549e-38,-1.17549e-38,0.0373672,-1.17549e-38,0.161308,0.0365155
555.8806,0.017963,0.0937867,0.0025469,0.0237651,1.09019e-05,-1.17549e-38,0.00882699,0.0188177,-1.17549e-38,0.161282,0.02538
556.3627,0.00981347,0.0673305,0.0245557,0.0252784,-1.17549e-38,-1.17549e-38,0.0353863,-1.17549e-38,-1.17549e-38,0.134426,0.0122302
556.8448,-1.17549e-38,0.0221705,0.0505376,0.022993,0.00866072,-1.17549e-38,0.0639214,-1.17549e-38,-1.17549e-38,0.0851499,0.00146559
557.327,-1.17549e-38,-1.17549e-38,0.0738018,0.0189586,0.0273156,-1.17549e-38,0.0870426,-1.17549e-38,-1.17549e-38,0.0290804,-1.17549e-38
557.8091,-1.17549e-38,-1.17549e-38,0.0894823,0.0147199,0.0414557,-1.17549e-38,0.098901,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
558.2912,-1.17549e-38,-1.17549e-38,0.0962251,0.0109163,0.0427648,-1.17549e-38,0.0978294,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00426036
558.7733,0.00488532,-1.17549e-38,0.0955798,0.00739625,0.0303151,-1.17549e-38,0.0867821,-1.17549e-38,0.00380284,-1.17549e-38,0.0133761
