Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
544.7919,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0569762,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00390129,0.0562289,-1.17549e-38,0.0898252,0.0254577
545.274,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0388646,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000366435,0.0814022,-1.17549e-38,0.0839186,0.0412724
545.7562,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00471996,0.0175787,0.0068056,-1.17549e-38,-1.17549e-38,0.0260855,0.0150685,0.0106154,0.0810939,-1.17549e-38,0.0602548,0.0491526
546.2383,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0144206,-1.17549e-38,0.0282502,-1.17549e-38,-1.17549e-38,0.0517087,0.0514376,0.0352009,0.0583692,-1.17549e-38,0.0187593,0.03751
546.7204,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000864882,-1.17549e-38,0.0554938,-1.17549e-38,-1.17549e-38,0.0586656,0.0743001,0.0649263,0.0264954,-1.17549e-38,-1.17549e-38,0.0058432
547.2025,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00149559,0.0812204,0.00857376,-1.17549e-38,0.0501172,0.0819889,0.0859646,0.000580668,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.6846,-1.17549e-38,-1.17549e-38,0.0109767,-1.17549e-38,0.0198507,0.0985048,0.00982026,-1.17549e-38,0.0327996,0.0766509,0.087452,-1.17549e-38,0.0134058,-1.17549e-38,-1.17549e-38
548.1667,-1.17549e-38,0.0137123,0.017761,-1.17549e-38,0.0381646,0.103804,0.00396032,-1.17549e-38,0.0144,0.0622013,0.0670092,-1.17549e-38,0.0130261,-1.17549e-38,-1.17549e-38
548.6489,-1.17549e-38,0.0622269,0.0158128,-1.17549e-38,0.0468577,0.0984496,-1.17549e-38,-1.17549e-38,0.00267668,0.0432563,0.031708,0.0123722,-1.17549e-38,-1.17549e-38,-1.17549e-38
549.131,-1.17549e-38,0.110016,0.00444609,-1.17549e-38,0.0427267,0.0878013,-1.17549e-38,-1.17549e-38,0.0047564,0.0242346,-1.17549e-38,0.0347534,-1.17549e-38,-1.17549e-38,-1.17549e-38
549.6131,-1.17549e-38,0.142866,-1.17549e-38,-1.17549e-38,0.0309579,0.078211,-1.17549e-38,-1.17549e-38,0.0249918,0.00791163,-1.17549e-38,0.0564411,-1.17549e-38,-1.17549e-38,-1.17549e-38
550.0952,-1.17549e-38,0.150494,-1.17549e-38,0.00608129,0.0220724,0.0731894,0.0113124,-1.17549e-38,0.061892,-1.17549e-38,-1.17549e-38,0.0719164,-1.17549e-38,-1.17549e-38,0.0284118
550.5773,-1.17549e-38,0.13177,-1.17549e-38,0.0402688,0.0255458,0.0711924,0.0254151,-1.17549e-38,0.106741,-1.17549e-38,-1.17549e-38,0.0766338,-1.17549e-38,-1.17549e-38,0.0540805
551.0594,-1.17549e-38,0.0949946,-1.17549e-38,0.0614277,0.0440014,0.0669324,0.0357503,0.0314276,0.146206,-1.17549e-38,0.000367588,0.0688931,-1.17549e-38,-1.17549e-38,0.056054
551.5416,-1.17549e-38,0.0533205,-1.17549e-38,0.0613209,0.0715833,0.0557497,0.0390857,0.0701044,0.16832,-1.17549e-38,0.0233091,0.0516997,0.00988629,-1.17549e-38,0.036129
552.0237,-1.17549e-38,0.0185729,-1.17549e-38,0.0371788,0.0973454,0.0380235,0.0355018,0.0886638,0.168345,-1.17549e-38,0.036527,0.0322389,0.0209776,-1.17549e-38,0.00655846
552.5058,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.111335,0.0202009,0.0274381,0.0819448,0.150786,-1.17549e-38,0.0362646,0.0184103,0.0179211,-1.17549e-38,-1.17549e-38
552.9879,-1.17549e-38,-1.17549e-38,0.0280853,-1.17549e-38,0.109694,0.011265,0.0179918,0.0559703,0.126306,-1.17549e-38,0.023776,0.0145645,0.0113282,-1.17549e-38,-1.17549e-38
553.47,-1.17549e-38,-1.17549e-38,0.075884,-1.17549e-38,0.0959844,0.0167321,0.00959277,0.0245519,0.105408,-1.17549e-38,0.00304819,0.0194784,0.0132626,-1.17549e-38,0.00984626
553.9521,0.0169685,-1.17549e-38,0.101698,-1.17549e-38,0.0782165,0.0343324,0.00342744,0.00223986,0.0926445,-1.17549e-38,-1.17549e-38,0.0278793,0.0280933,-1.17549e-38,0.0481828
554.4343,0.0704555,0.00101317,0.097219,-1.17549e-38,0.063613,0.0547763,-1.17549e-38,-1.17549e-38,0.0848143,-1.17549e-38,-1.17549e-38,0.0339745,0.0489679,0.0215036,0.08067
554.9164,0.122537,0.0031857,0.0637329,-1.17549e-38,0.0545898,0.0674726,-1.17549e-38,0.00692757,0.0741308,-1.17549e-38,-1.17549e-38,0.0340365,0.0623788,0.04488,0.0898628
555.3985,0.161655,0.00292819,0.0120599,-1.17549e-38,0.0485333,0.0672223,-1.17549e-38,0.0217756,0.0540265,-1.17549e-38,-1.17549e-38,0.026507,0.0572182,0.0614155,0.0692956
555.8806,0.180011,0.00287925,-1.17549e-38,-1.17549e-38,0.0411307,0.0570916,-1.17549e-38,0.0299403,0.0236269,-1.17549e-38,-1.17549e-38,0.0108705,0.0315487,0.0652718,0.0257591
556.3627,0.177144,0.00641788,-1.17549e-38,-1.17549e-38,0.0304477,0.0456701,-1.17549e-38,0.0247292,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0562314,-1.17549e-38
556.8448,0.160007,0.0152829,-1.17549e-38,-1.17549e-38,0.0186696,0.0410355,-1.17549e-38,0.00728919,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0401627,-1.17549e-38
