Wavelength (nm)	Reflectance
736	0.9008918
737	0.9014669
738	0.9020371
739	0.9026025
740	0.9031631
741	0.903719
742	0.9042702
743	0.9048168
744	0.9053588
745	0.9058962
746	0.9064291
747	0.9069576
748	0.9074816
749	0.9080013
750	0.9085167
751	0.9090278
752	0.9095049
753	0.909956
754	0.9104037
755	0.9108481
756	0.9112892
757	0.911727
758	0.9121615
759	0.9125928
760	0.9130209
761	0.9134458
762	0.9138676
763	0.9142863
764	0.9147019
765	0.9151145
766	0.915524
767	0.9159305
768	0.9163341
769	0.9167347
770	0.9171324
771	0.9175272
772	0.9179191
773	0.9183082
774	0.9186945
775	0.919079
776	0.9194709
777	0.91986
778	0.9202463
779	0.9206299
780	0.9210106
781	0.9213887
782	0.921764
783	0.9221367
784	0.9225067
785	0.9228741
786	0.9232389
787	0.9236011
788	0.9239607
789	0.9243178
790	0.9246724
791	0.9250245
792	0.9253741
793	0.9257212
794	0.9260659
795	0.9264082
796	0.9267482
797	0.9270857
798	0.9274209
799	0.9277538
800	0.9280796
801	0.9283601
802	0.9286389
803	0.928916
804	0.9291913
805	0.929465
806	0.929737
807	0.9300072
808	0.9302759
809	0.9305428
810	0.9308082
811	0.9310719
812	0.931334
813	0.9315945
814	0.9318534
815	0.9321108
816	0.9323666
817	0.9326208
818	0.9328735
819	0.9331247
820	0.9333744
821	0.9336226
822	0.9338692
823	0.9341144
824	0.9343582
825	0.9346005
826	0.9348413
827	0.9350477
828	0.9352095
829	0.9353705
830	0.9355308
831	0.9356904
832	0.9358493
833	0.9360074
834	0.9361649
835	0.9363216
836	0.9364777
837	0.936633
838	0.9367877
839	0.9369417
840	0.937095
841	0.9372476
842	0.9373996
843	0.9375509
844	0.9377015
845	0.9378514
846	0.9380007
847	0.9381494
848	0.9382974
849	0.9384447
850	0.9385914
851	0.9387375
852	0.938883
853	0.9390278
854	0.939172
855	0.9393155
856	0.939441
857	0.9395647
858	0.9396879
859	0.9398107
860	0.9399329
861	0.9400547
862	0.940176
863	0.9402968
864	0.9404172
865	0.9405371
866	0.9406566
867	0.9407755
868	0.9408941
869	0.9410121
870	0.9411297
871	0.9412469
872	0.9413636
873	0.9414799
874	0.9415957
875	0.9417111
876	0.9418261
877	0.9419406
878	0.9420547
879	0.9421683
880	0.9422815
881	0.9423943
882	0.9425067
883	0.9426186
884	0.9427302
885	0.9428413
886	0.942962
887	0.943098
888	0.9432333
889	0.9433681
890	0.9435022
891	0.9436358
892	0.9437688
893	0.9439013
894	0.9440331
895	0.9441644
896	0.9442951
897	0.9444253
898	0.9445549
899	0.9446839
900	0.9448124
901	0.9449403
902	0.9450677
903	0.9451945
904	0.9453208
905	0.9454466
906	0.9455718
907	0.9456965
908	0.9458207
909	0.9459444
910	0.9460675
911	0.9461901
912	0.9463122
913	0.9464338
914	0.9465548
915	0.9466754
916	0.9467954
917	0.946915
918	0.9470341
919	0.947146
920	0.947253
921	0.9473595
922	0.9474657
923	0.9475714
924	0.9476767
925	0.9477816
926	0.9478861
927	0.9479902
928	0.9480939
929	0.9481973
930	0.9483002
931	0.9484027
932	0.9485048
933	0.9486066
934	0.9487079
935	0.9488089
936	0.9489095
937	0.9490097
938	0.9491095
939	0.9492089
940	0.949308
941	0.9494067
942	0.949505
943	0.949603
944	0.9497006
945	0.9497978
946	0.9498947
947	0.9499912
948	0.9500873
949	0.9501831
950	0.9502786
951	0.9503736
952	0.9504684
953	0.9505628
954	0.9506471
955	0.9507051
956	0.9507629
957	0.9508206
958	0.9508781
959	0.9509355
960	0.9509928
961	0.9510499
962	0.9511069
963	0.9511637
964	0.9512204
965	0.951277
966	0.9513335
967	0.9513898
968	0.951446
969	0.951502
970	0.9515579
971	0.9516137
972	0.9516694
973	0.9517249
974	0.9517803
975	0.9518356
976	0.9518907
977	0.9519457
978	0.9520006
979	0.9520553
980	0.9521099
981	0.9521644
982	0.9522188
983	0.952273
984	0.9523271
985	0.9523811
986	0.952435
987	0.9524887
988	0.9525423
989	0.9525958
990	0.9526492
991	0.9527024
992	0.9527561
993	0.9528135
994	0.9528707
995	0.9529278
996	0.9529847
997	0.9530415
998	0.9530981
999	0.9531546
1000	0.953211
1001	0.9532672
1002	0.9533233
1003	0.9533793
1004	0.9534351
1005	0.9534908
1006	0.9535463
1007	0.9536017
1008	0.9536569
1009	0.9537121
1010	0.953767
1011	0.9538219
1012	0.9538766
1013	0.9539312
1014	0.9539856
1015	0.9540399
1016	0.9540941
1017	0.9541482
1018	0.9542021
1019	0.9542559
1020	0.9543095
1021	0.954363
1022	0.9544164
1023	0.9544697
1024	0.9545228
1025	0.9545758
1026	0.9546287
1027	0.9546815
1028	0.9547341
1029	0.9547866
1030	0.9548389
1031	0.9548912
1032	0.9549433
1033	0.9549953
1034	0.9550772
1035	0.9551667
1036	0.9552559
1037	0.9553447
1038	0.9554332
1039	0.9555213
1040	0.9556092
1041	0.9556967
1042	0.9557838
1043	0.9558706
1044	0.9559571
1045	0.9560433
1046	0.9561291
1047	0.9562147
1048	0.9562999
1049	0.9563848
1050	0.9564693
1051	0.9565536
1052	0.9566375
1053	0.9567211
1054	0.9568044
1055	0.9568874
1056	0.9569701
1057	0.9570525
1058	0.9571346
1059	0.9572163
1060	0.9572978
1061	0.957379
1062	0.9574599
1063	0.9575404
1064	0.9576207
1065	0.9577007
1066	0.9577804
1067	0.9578598
1068	0.9579389
1069	0.9580178
1070	0.9580963
1071	0.9581746
1072	0.9582525
1073	0.9583302
1074	0.9584076
1075	0.9584848
1076	0.9585616
1077	0.9586382
1078	0.9587145
1079	0.9587875
1080	0.9588598
1081	0.9589319
1082	0.9590037
1083	0.9590753
1084	0.9591466
1085	0.9592177
1086	0.9592885
1087	0.9593591
1088	0.9594294
1089	0.9594995
1090	0.9595694
1091	0.9596391
1092	0.9597085
1093	0.9597776
1094	0.9598466
1095	0.9599153
1096	0.9599837
1097	0.960052
1098	0.96012
1099	0.9601878
1100	0.9602553
1101	0.9603226
1102	0.9603897
1103	0.9604566
1104	0.9605233
1105	0.9605897
1106	0.9606559
1107	0.9607219
1108	0.9607877
1109	0.9608533
1110	0.9609186
1111	0.9609837
1112	0.9610486
1113	0.9611133
1114	0.9611778
1115	0.9612421
1116	0.9613062
1117	0.96137
1118	0.9614337
1119	0.9614971
1120	0.9615603
1121	0.9616234
1122	0.9616862
1123	0.9617488
1124	0.9618112
1125	0.9618735
1126	0.9619355
1127	0.9619973
1128	0.9620503
1129	0.9621017
1130	0.9621529
1131	0.962204
1132	0.962255
1133	0.9623058
1134	0.9623565
1135	0.9624071
1136	0.9624574
1137	0.9625077
1138	0.9625578
1139	0.9626078
1140	0.9626576
1141	0.9627073
1142	0.9627568
1143	0.9628062
1144	0.9628555
1145	0.9629046
1146	0.9629536
1147	0.9630025
1148	0.9630512
1149	0.9630998
1150	0.9631482
1151	0.9631966
1152	0.9632447
1153	0.9632928
1154	0.9633407
