Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
504.7762,0.0275795,0.097745,-1.17549e-38,0.1844,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0302553,0.0338212,0.0228039,-1.17549e-38,-1.17549e-38,0.12434,0.0814022,0.073904,-1.17549e-38,0.0255868,0.0723242,-1.17549e-38,0.0294887,-1.17549e-38,0.265587,0.00922317,0.0959093,-1.17549e-38,0.0238326,0.111158,0.196793,0.054694,0.0720644
505.2583,0.0198442,0.152346,0.0079608,0.191053,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0531378,0.0588223,0.0134885,-1.17549e-38,0.0134198,0.152509,0.031509,0.0627528,0.0116915,0.0184315,0.0735447,-1.17549e-38,0.0802736,0.0237171,0.259382,0.00791175,0.105259,-1.17549e-38,0.0370128,0.117434,0.207726,-1.17549e-38,0.0767517
505.7404,0.00332938,0.204291,0.0183786,0.15186,-1.17549e-38,-1.17549e-38,0.0151272,0.0603143,0.0816959,0.00188128,-1.17549e-38,0.0388194,0.154706,-1.17549e-38,0.0620281,0.0357004,0.0301617,0.0823017,0.00763142,0.106671,0.077496,0.235352,0.00751688,0.111144,-1.17549e-38,0.0468433,0.108667,0.208255,-1.17549e-38,0.0756435
506.2226,-1.17549e-38,0.242388,0.00709953,0.0789152,-1.17549e-38,0.0156622,0.0627978,0.0491845,0.0920979,-1.17549e-38,0.000548866,0.047228,0.136772,-1.17549e-38,0.06361,0.0565952,0.0536947,0.103762,0.0183009,0.102178,0.123784,0.195853,0.000631293,0.113342,-1.17549e-38,0.0520751,0.0923407,0.184894,-1.17549e-38,0.063942
506.7047,-1.17549e-38,0.258176,-1.17549e-38,-1.17549e-38,0.0241035,0.0418725,0.0913739,0.0253897,0.084214,-1.17549e-38,0.027368,0.0361949,0.111754,-1.17549e-38,0.0602108,0.0574102,0.0793421,0.135255,0.0256377,0.076188,0.140508,0.147954,-1.17549e-38,0.111816,-1.17549e-38,0.0516942,0.0742013,0.131557,0.0196854,0.0390416
507.1868,-1.17549e-38,0.247319,-1.17549e-38,-1.17549e-38,0.0600237,0.0606159,0.0890146,-1.17549e-38,0.0616406,-1.17549e-38,0.0499819,0.013538,0.0899947,-1.17549e-38,0.0495452,0.0302749,0.100995,0.164916,0.0276943,0.0478313,0.11743,0.0987417,-1.17549e-38,0.107308,0.0176159,0.0460706,0.0541919,0.0555067,0.116056,0.00237403
507.6689,-1.17549e-38,0.210344,-1.17549e-38,-1.17549e-38,0.0934206,0.0630062,0.0603178,-1.17549e-38,0.0362826,-1.17549e-38,0.061222,-1.17549e-38,0.0737398,-1.17549e-38,0.0359031,-1.17549e-38,0.117884,0.177293,0.0250048,0.0329235,0.0619773,0.0526276,-1.17549e-38,0.101374,0.0781755,0.0370901,0.0285089,-1.17549e-38,0.201322,-1.17549e-38
508.151,-1.17549e-38,0.152306,-1.17549e-38,-1.17549e-38,0.11807,0.0463984,0.0232533,-1.17549e-38,0.0212419,-1.17549e-38,0.0601383,-1.17549e-38,0.0600191,-1.17549e-38,0.0278686,-1.17549e-38,0.131027,0.162441,0.0197101,0.0345556,-1.17549e-38,0.012431,0.0176185,0.0955176,0.100911,0.0270406,-1.17549e-38,-1.17549e-38,0.247864,-1.17549e-38
508.6331,-1.17549e-38,0.0815781,0.00497446,-1.17549e-38,0.124197,0.0145586,-1.17549e-38,-1.17549e-38,0.0229842,-1.17549e-38,0.0510281,0.0150732,0.0467363,-1.17549e-38,0.0332092,-1.17549e-38,0.138841,0.121855,0.0138784,0.0441248,-1.17549e-38,-1.17549e-38,0.0603776,0.0899711,0.0834669,0.017329,-1.17549e-38,-1.17549e-38,0.247886,-1.17549e-38
509.1153,-1.17549e-38,0.00842042,0.0486323,-1.17549e-38,0.102718,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0380697,-1.17549e-38,0.0390438,0.055049,0.0345825,0.00100239,0.0534317,-1.17549e-38,0.136584,0.0678095,0.00836042,0.0496624,-1.17549e-38,-1.17549e-38,0.0975521,0.0828856,0.0418492,0.00819297,-1.17549e-38,-1.17549e-38,0.212246,-1.17549e-38
509.5974,0.0379911,-1.17549e-38,0.0842745,-1.17549e-38,0.0521585,-1.17549e-38,0.00235776,-1.17549e-38,0.0557436,-1.17549e-38,0.0264504,0.0973238,0.0232876,0.042501,0.0806753,-1.17549e-38,0.120094,0.0173994,0.00282705,0.043759,-1.17549e-38,-1.17549e-38,0.110616,0.0703608,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.161554,-1.17549e-38
510.0795,0.0729225,-1.17549e-38,0.100093,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0162916,-1.17549e-38,0.0643129,0.0152989,0.0122801,0.123669,0.00734786,0.0763043,0.0993583,-1.17549e-38,0.0903795,-1.17549e-38,-1.17549e-38,0.0263084,-1.17549e-38,-1.17549e-38,0.0915938,0.0475827,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.115226,-1.17549e-38
510.5616,0.0849806,-1.17549e-38,0.092137,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0211017,-1.17549e-38,0.057649,0.0349311,-1.17549e-38,0.121819,-1.17549e-38,0.106895,0.0936113,0.000828448,0.0548375,-1.17549e-38,-1.17549e-38,0.0021867,-1.17549e-38,-1.17549e-38,0.0485999,0.0113243,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0829384,-1.17549e-38
511.0437,0.079391,-1.17549e-38,0.0660073,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0134512,-1.17549e-38,0.0378961,0.0467069,-1.17549e-38,0.0917987,-1.17549e-38,0.137163,0.0576076,-1.17549e-38,0.0233079,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00252075,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0619497,0.0206086
511.5258,0.0690182,-1.17549e-38,0.0340888,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000511036,-1.17549e-38,0.0125212,0.0455097,-1.17549e-38,0.0456748,-1.17549e-38,0.164752,0.00175779,-1.17549e-38,0.00170492,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.041668,0.0619205
