Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
521.1682,0.0232089,-1.17549e-38,-1.17549e-38,0.0770963,-1.17549e-38,-1.17549e-38,0.041323,0.0118414,-1.17549e-38,-1.17549e-38,0.0655544,-1.17549e-38,-1.17549e-38,-1.17549e-38
521.6503,0.0195187,-1.17549e-38,-1.17549e-38,0.0726421,-1.17549e-38,-1.17549e-38,0.0737666,0.0494195,-1.17549e-38,0.0130323,0.0983398,-1.17549e-38,-1.17549e-38,-1.17549e-38
522.1324,0.0299501,-1.17549e-38,-1.17549e-38,0.0641052,0.0276022,-1.17549e-38,0.121926,0.0565929,-1.17549e-38,0.028749,0.126263,-1.17549e-38,-1.17549e-38,-1.17549e-38
522.6146,0.0610994,-1.17549e-38,-1.17549e-38,0.0572632,0.0707551,-1.17549e-38,0.17129,0.0392181,-1.17549e-38,0.0325078,0.137742,-1.17549e-38,-1.17549e-38,-1.17549e-38
523.0967,0.109584,0.0237099,-1.17549e-38,0.0542889,0.107449,-1.17549e-38,0.203889,0.0128486,-1.17549e-38,0.0275861,0.121357,-1.17549e-38,-1.17549e-38,-1.17549e-38
523.5788,0.162852,0.0470353,-1.17549e-38,0.053144,0.121737,-1.17549e-38,0.208834,-1.17549e-38,-1.17549e-38,0.0200052,0.0758101,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.0609,0.204784,0.0548307,-1.17549e-38,0.0494245,0.104242,-1.17549e-38,0.188347,-1.17549e-38,-1.17549e-38,0.0137879,0.014223,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.543,0.222719,0.0483163,-1.17549e-38,0.039409,0.0582036,-1.17549e-38,0.155457,0.0271907,-1.17549e-38,0.00856579,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.0251,0.212734,0.0359407,-1.17549e-38,0.0226024,-1.17549e-38,-1.17549e-38,0.125368,0.0778656,-1.17549e-38,0.00101525,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.5073,0.181478,0.0270147,-1.17549e-38,0.00256341,-1.17549e-38,0.0282853,0.105834,0.135774,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.9894,0.143329,0.0258122,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0466043,0.0925403,0.180639,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.4715,0.112843,0.0301198,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0527488,0.0734369,0.195033,-1.17549e-38,-1.17549e-38,0.0506228,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.9536,0.0965507,0.0348097,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0523578,0.0391908,0.173866,-1.17549e-38,-1.17549e-38,0.0971215,-1.17549e-38,-1.17549e-38,-1.17549e-38
527.4357,0.0900431,0.0364416,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0515194,-1.17549e-38,0.126715,-1.17549e-38,-1.17549e-38,0.11976,-1.17549e-38,-1.17549e-38,-1.17549e-38
527.9178,0.0819018,0.0347722,-1.17549e-38,0.0108333,-1.17549e-38,0.0520131,-1.17549e-38,0.0716692,-1.17549e-38,-1.17549e-38,0.116799,-1.17549e-38,-1.17549e-38,-1.17549e-38
528.4,0.0610305,0.0312175,-1.17549e-38,0.032594,-1.17549e-38,0.0500079,-1.17549e-38,0.026178,-1.17549e-38,-1.17549e-38,0.0947659,-1.17549e-38,0.018239,-1.17549e-38
528.8821,0.0234438,0.0269226,-1.17549e-38,0.0530454,-1.17549e-38,0.0386652,-1.17549e-38,0.00022221,-1.17549e-38,-1.17549e-38,0.0643304,0.0121186,0.0258472,-1.17549e-38
529.3642,-1.17549e-38,0.0222488,0.0492708,0.0680534,-1.17549e-38,0.0131865,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0368572,0.0270788,0.0194659,-1.17549e-38
529.8463,-1.17549e-38,0.0174711,0.100734,0.0738421,0.0282379,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0211217,0.0359369,0.00387192,-1.17549e-38
530.3284,-1.17549e-38,0.0133027,0.130449,0.0681321,0.0831247,-1.17549e-38,-1.17549e-38,0.00793207,-1.17549e-38,-1.17549e-38,0.0206465,0.0368298,-1.17549e-38,-1.17549e-38
530.8105,-1.17549e-38,0.0103361,0.127981,0.0514834,0.131215,-1.17549e-38,-1.17549e-38,0.0106679,-1.17549e-38,-1.17549e-38,0.033374,0.0295275,-1.17549e-38,0.00235179
531.2927,-1.17549e-38,0.00803635,0.0924704,0.0279363,0.155403,-1.17549e-38,-1.17549e-38,0.00499814,-1.17549e-38,-1.17549e-38,0.0542133,0.0158198,-1.17549e-38,0.00575354
