Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
7230.3047,3.51045,6.04472,9.00003,12.1918,14.7725,16.7717,17.5159,18.0575,17.71,16.311,15.6244,17.2818,16.6839,16.2514,16.7231,15.1864,13.9488,13.4721,13.0386,13.1151,12.9633,14.5312,14.0998,14.4959,14.3366,13.6469,12.8183,9.94237,7.12486,4.9437
7230.7866,3.40141,5.99649,8.94264,12.1076,14.7133,16.7275,17.5622,18.1015,17.6349,16.3417,15.6613,17.2432,16.773,16.137,16.6749,15.1255,13.9617,13.4687,13.1552,12.9972,12.921,14.5766,14.1577,14.5493,14.4238,13.6297,12.7952,10.064,7.10338,4.98302
7231.269,3.28011,5.90659,8.87527,11.9437,14.5984,16.6837,17.5756,18.0817,17.573,16.3746,15.7284,17.1546,16.8795,16.0079,16.6292,15.0873,13.9143,13.3927,13.2517,12.8743,12.9285,14.6205,14.2832,14.5765,14.5199,13.6168,12.7132,10.2443,7.0237,5.02544
7231.751,3.2082,5.8114,8.8004,11.7534,14.4537,16.6441,17.544,17.9989,17.5689,16.3984,15.8122,17.0653,16.9459,15.9171,16.6197,15.0904,13.8566,13.2717,13.3172,12.7855,12.9801,14.6504,14.4267,14.5735,14.5891,13.6104,12.5857,10.4233,6.90277,5.06543
7232.2329,3.23354,5.7492,8.73362,11.602,14.3226,16.6266,17.4786,17.8793,17.646,16.4121,15.8996,17.0224,16.9372,15.9028,16.6688,15.1308,13.8427,13.1526,13.3514,12.7515,13.0575,14.6641,14.5336,14.5586,14.6085,13.6111,12.445,10.5429,6.77327,5.1086
7232.7153,3.36115,5.7364,8.69463,11.5305,14.2423,16.6483,17.4035,17.7604,17.7884,16.431,15.9809,17.0446,16.8636,15.9739,16.7696,15.1853,13.8963,13.0791,13.3651,12.7665,13.1415,14.668,14.5748,14.5521,14.5814,13.61,12.3211,10.5751,6.66946,5.16297
7233.1973,3.55,5.76266,8.69207,11.5358,14.2269,16.7078,17.3392,17.6741,17.9493,16.4774,16.0498,17.1165,16.77,16.1072,16.8847,15.2284,14.0004,13.0737,13.3744,12.8083,13.219,14.6671,14.5552,14.5571,14.5306,13.5877,12.2231,10.5288,6.61191,5.22953
7233.6792,3.73508,5.8038,8.71508,11.5782,14.2665,16.7801,17.2927,17.6353,18.0786,16.5626,16.1034,17.2042,16.7055,16.2566,16.9675,15.2503,14.1125,13.1334,13.3901,12.857,13.2814,14.6567,14.4998,14.5549,14.4787,13.5248,12.1376,10.434,6.6015,5.3
7234.1616,3.85836,5.83884,8.73733,11.6081,14.339,16.8278,17.2568,17.6407,18.1482,16.672,16.1409,17.2764,16.6969,16.3709,16.9882,15.2633,14.1923,13.2375,13.4089,12.9038,13.3214,14.6243,14.4321,14.5185,14.4298,13.4179,12.0437,10.322,6.62415,5.3612
7234.6436,3.89363,5.85988,8.7309,11.5924,14.4219,16.8227,17.2163,17.6742,18.1608,16.7656,16.1623,17.3197,16.7413,16.4165,16.9531,15.2932,14.2209,13.3581,13.4129,12.9494,13.3324,14.5606,14.3631,14.4311,14.3666,13.29,11.9326,10.2132,6.66084,5.40094
7235.126,3.85566,5.87279,8.68264,11.5286,14.5006,16.7641,17.1554,17.7152,18.1426,16.797,16.1665,17.3427,16.8148,16.3951,16.9039,15.3628,14.206,13.4709,13.3809,12.9985,13.3135,14.4697,14.2945,14.2988,14.2638,13.1867,11.8183,10.1177,6.69656,5.41096
7235.6079,3.78967,5.89125,8.60421,11.4403,14.57,16.6828,17.0653,17.7476,18.1243,16.7406,16.1516,17.3692,16.8902,16.3467,16.8974,15.4764,14.1725,13.5618,13.3067,13.056,13.2745,14.372,14.2286,14.1519,14.1112,13.1553,11.7324,10.0396,6.72382,5.38705
7236.0898,3.74513,5.92874,8.52844,11.3585,14.6317,16.6245,16.9486,17.765,18.1237,16.6109,16.119,17.4249,16.9518,16.3293,16.9757,15.6148,14.1478,13.6296,13.213,13.1261,13.2344,14.295,14.1744,14.032,13.9285,13.2181,11.705,9.98178,6.7399,5.32893
7236.5723,3.74881,5.99258,8.49264,11.3006,14.6872,16.6225,16.8206,17.7696,18.1389,16.4568,16.0783,17.5228,17.0008,16.3874,17.1435,15.7466,14.1513,13.6818,13.1472,13.2124,13.2118,14.2584,14.1426,13.9728,13.7609,13.3556,11.7449,9.9459,6.74152,5.24242
7237.0542,3.79354,6.08159,8.51841,11.2649,14.7318,16.6778,16.7065,17.7648,18.1552,16.3361,16.0496,17.654,17.0505,16.5271,17.3684,15.8473,14.1947,13.7267,13.1597,13.3139,13.2139,14.2643,14.1345,13.9862,13.6548,13.5126,11.831,9.92874,6.72282,5.14276
7237.5361,3.84788,6.18639,8.59997,11.2404,14.752,16.7598,16.6351,17.7485,18.159,16.286,16.0583,17.7887,17.1167,16.7154,17.5986,15.9157,14.2879,13.7665,13.2741,13.42,13.2313,14.2993,14.1365,14.0575,13.6326,13.6226,11.9208,9.92094,6.68,5.05462
7238.0186,3.87801,6.29079,8.70705,11.2233,14.73,16.8253,16.6298,17.7114,18.1477,16.31,16.1247,17.8879,17.2108,16.9014,17.787,15.9759,14.4417,13.7965,13.4689,13.5081,13.2445,14.3442,14.1266,14.153,13.6812,13.6375,11.9694,9.91093,6.61933,5.00516
7238.5005,3.86717,6.37445,8.79981,11.2236,14.6536,16.8431,16.6976,17.6458,18.1316,16.3834,16.2518,17.9223,17.3354,17.045,17.9089,16.0641,14.6598,13.8115,13.6829,13.5513,13.2361,14.3856,14.0905,14.2348,13.7621,13.5483,11.9498,9.8933,6.56142,5.01109
