Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
528.4,0.131791,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.105162,0.0392764,-1.17549e-38,-1.17549e-38,0.111266,-1.17549e-38,0.0952641,-1.17549e-38
528.8821,0.127143,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0119983,0.0880617,0.0338499,-1.17549e-38,-1.17549e-38,0.122228,-1.17549e-38,0.0916513,-1.17549e-38
529.3642,0.0889262,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0399586,0.0569199,0.0236523,-1.17549e-38,-1.17549e-38,0.122248,-1.17549e-38,0.0770874,-1.17549e-38
529.8463,0.0271057,0.0172798,-1.17549e-38,-1.17549e-38,0.0585031,0.0192879,0.0128516,-1.17549e-38,-1.17549e-38,0.113776,-1.17549e-38,0.0502698,-1.17549e-38
530.3284,-1.17549e-38,0.0466893,-1.17549e-38,-1.17549e-38,0.0607906,-1.17549e-38,0.00608016,-1.17549e-38,-1.17549e-38,0.0946749,-1.17549e-38,0.0166237,-1.17549e-38
530.8105,-1.17549e-38,0.0766911,-1.17549e-38,-1.17549e-38,0.0458846,-1.17549e-38,0.00575382,-1.17549e-38,-1.17549e-38,0.0617969,-1.17549e-38,-1.17549e-38,-1.17549e-38
531.2927,-1.17549e-38,0.0938561,-1.17549e-38,-1.17549e-38,0.0180002,-1.17549e-38,0.0113536,-1.17549e-38,0.000721247,0.0166942,-1.17549e-38,-1.17549e-38,-1.17549e-38
531.7748,-1.17549e-38,0.0871191,0.00940523,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0206313,0.00380708,0.0186355,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
532.2569,-1.17549e-38,0.0543095,0.00871601,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0312915,0.0297984,0.0363654,-1.17549e-38,-1.17549e-38,0.0052466,0.000723651
532.739,-1.17549e-38,0.00415859,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0417612,0.0391282,0.0488109,-1.17549e-38,-1.17549e-38,0.0412259,0.0167949
533.2211,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0507184,0.0273023,0.0526487,-1.17549e-38,-1.17549e-38,0.0740028,0.0271486
533.7032,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0561816,-1.17549e-38,0.0466288,-1.17549e-38,-1.17549e-38,0.0928738,0.0322976
