Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
542.8635,-1.17549e-38,0.0402952,0.00841246,-1.17549e-38,-1.17549e-38,0.177302,0.0991091,-1.17549e-38,0.0145478,-1.17549e-38,0.0857455,-1.17549e-38
543.3456,0.00794418,0.0659257,0.00161397,-1.17549e-38,-1.17549e-38,0.167109,0.104195,-1.17549e-38,0.0483424,-1.17549e-38,0.136267,-1.17549e-38
543.8277,0.0302629,0.0867678,0.00400213,-1.17549e-38,-1.17549e-38,0.153485,0.0976077,-1.17549e-38,0.0824866,-1.17549e-38,0.179031,-1.17549e-38
544.3098,0.0387906,0.0945011,0.0172821,-1.17549e-38,-1.17549e-38,0.128702,0.074663,-1.17549e-38,0.111301,-1.17549e-38,0.204923,0.0422523
544.7919,0.0313825,0.0881903,0.0399523,0.00811581,-1.17549e-38,0.0885668,0.0342502,-1.17549e-38,0.126528,-1.17549e-38,0.20885,0.0834412
545.274,0.0102744,0.0736278,0.0672405,0.0880618,-1.17549e-38,0.0363455,-1.17549e-38,-1.17549e-38,0.12013,-1.17549e-38,0.19126,0.117333
545.7562,-1.17549e-38,0.0588226,0.0914588,0.155087,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0886358,0.011651,0.156407,0.141051
546.2383,-1.17549e-38,0.0491028,0.103686,0.187214,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0364838,0.0359666,0.109311,0.151713
546.7204,-1.17549e-38,0.0450898,0.0971511,0.175168,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0657504,0.0542519,0.145189
547.2025,-1.17549e-38,0.0442326,0.0709416,0.125774,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.020791,-1.17549e-38,0.0989279,-1.17549e-38,0.117486
547.6846,-1.17549e-38,0.0438889,0.0314961,0.0580809,0.0231136,-1.17549e-38,-1.17549e-38,0.0714249,-1.17549e-38,0.128551,-1.17549e-38,0.0684862
548.1667,-1.17549e-38,0.0433941,-1.17549e-38,-1.17549e-38,0.0397403,-1.17549e-38,-1.17549e-38,0.120006,-1.17549e-38,0.1453,-1.17549e-38,0.00537937
548.6489,0.033657,0.0440351,-1.17549e-38,-1.17549e-38,0.0341194,-1.17549e-38,0.0217816,0.153899,-1.17549e-38,0.141962,-1.17549e-38,-1.17549e-38
549.131,0.0700731,0.0474312,-1.17549e-38,-1.17549e-38,0.0153173,-1.17549e-38,0.0424258,0.162258,-1.17549e-38,0.117338,-1.17549e-38,-1.17549e-38
549.6131,0.100218,0.0534733,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0350843,0.0455369,0.139893,-1.17549e-38,0.0773995,-1.17549e-38,-1.17549e-38
550.0952,0.119212,0.0590276,-1.17549e-38,0.00893377,-1.17549e-38,0.0780479,0.0375211,0.0891723,-1.17549e-38,0.0328084,-1.17549e-38,-1.17549e-38
550.5773,0.122653,0.0584232,-1.17549e-38,0.0418608,0.00664491,0.0998442,0.0262899,0.0188424,0.00142919,-1.17549e-38,-1.17549e-38,-1.17549e-38
551.0594,0.107826,0.0460046,-1.17549e-38,0.0572019,0.0273606,0.099024,0.0172278,-1.17549e-38,0.0122414,-1.17549e-38,0.00568447,-1.17549e-38
551.5416,0.0755968,0.0196899,-1.17549e-38,0.0516387,0.0436081,0.0859679,0.011955,-1.17549e-38,0.0157002,-1.17549e-38,0.00403528,0.0277329
