Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
520.6861,0.0290581,0.00539436,-1.17549e-38,0.159435,0.112933,-1.17549e-38,0.0523668,0.11615,-1.17549e-38,0.0134609,-1.17549e-38,0.0123676
521.1682,-1.17549e-38,-1.17549e-38,0.0308589,0.169426,0.0689103,-1.17549e-38,0.0726619,0.107243,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0598971
521.6503,-1.17549e-38,-1.17549e-38,0.0557708,0.149917,0.0174527,-1.17549e-38,0.0851924,0.0721178,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0933732
522.1324,-1.17549e-38,-1.17549e-38,0.0647068,0.107452,-1.17549e-38,0.00814608,0.0956754,0.0236975,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.105204
522.6146,-1.17549e-38,0.011516,0.0549299,0.0540598,-1.17549e-38,0.0394997,0.108604,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0968803
523.0967,-1.17549e-38,0.044581,0.030402,0.00171565,-1.17549e-38,0.0462107,0.122759,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0759015
523.5788,-1.17549e-38,0.0793459,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0263125,0.131329,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0518584
524.0609,-1.17549e-38,0.102873,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.126025,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0336152
524.543,-1.17549e-38,0.103874,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.101979,-1.17549e-38,-1.17549e-38,0.006682,-1.17549e-38,0.0282891
525.0251,0.0133411,0.0770842,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.06084,-1.17549e-38,0.00688705,0.0284026,0.0481191,0.0408491
525.5073,0.0341923,0.0273071,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0111008,-1.17549e-38,0.0524229,0.0579232,0.112002,0.0724954
525.9894,0.0507542,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0786086,0.092658,0.126674,0.117894
526.4715,0.0596752,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0833722,0.120464,0.0940934,0.164397
526.9536,0.0590522,-1.17549e-38,-1.17549e-38,0.0041091,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0733424,0.126982,0.0382115,0.195952
527.4357,0.0491825,-1.17549e-38,-1.17549e-38,0.00778046,0.0268157,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.058604,0.106166,-1.17549e-38,0.199504
527.9178,0.0322638,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0540471,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0465549,0.064597,-1.17549e-38,0.169556
