Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
514.9007,-1.17549e-38,-1.17549e-38,0.089296,0.0527881,0.0641951,0.0496895,0.0584182,0.0286678,0.0610816,0.044396,0.00996778,0.092063,0.159738,0.190367,0.00213081,0.122596,-1.17549e-38,-1.17549e-38,-1.17549e-38
515.3828,-1.17549e-38,-1.17549e-38,0.105267,0.0363324,0.0430892,0.0290596,0.0442336,0.0235647,0.0660686,0.00652831,0.0523634,0.0357131,0.15491,0.163314,0.0469313,0.113271,-1.17549e-38,-1.17549e-38,-1.17549e-38
515.8649,-1.17549e-38,-1.17549e-38,0.118793,0.0180974,0.0278681,0.0058413,0.0287778,0.0092101,0.0693905,-1.17549e-38,0.0891146,0.00619691,0.137428,0.125342,0.0810618,0.101875,0.00427766,-1.17549e-38,0.0249713
516.347,-1.17549e-38,-1.17549e-38,0.128156,0.00423317,0.0303799,-1.17549e-38,0.0226796,-1.17549e-38,0.0658752,-1.17549e-38,0.108384,0.0122976,0.111882,0.0873925,0.0906955,0.0854634,0.0080942,-1.17549e-38,0.0603737
516.8292,-1.17549e-38,-1.17549e-38,0.133574,-1.17549e-38,0.0529493,-1.17549e-38,0.0318724,-1.17549e-38,0.0527022,-1.17549e-38,0.10276,0.0469789,0.0837004,0.0546121,0.0728147,0.0593719,0.010018,-1.17549e-38,0.0842032
517.3113,-1.17549e-38,-1.17549e-38,0.137137,0.00594844,0.0860562,-1.17549e-38,0.0549018,-1.17549e-38,0.0313272,-1.17549e-38,0.0732321,0.0918363,0.0578921,0.0278734,0.0382051,0.0220398,0.0103816,0.0224423,0.0920685
517.7934,0.00994075,-1.17549e-38,0.141434,0.0219441,0.113216,-1.17549e-38,0.0845361,0.0100984,0.00609969,-1.17549e-38,0.0298601,0.127503,0.0386186,0.00763156,0.00446794,-1.17549e-38,0.00957782,0.0426771,0.0830534
518.2755,0.0343694,-1.17549e-38,0.147429,0.0435366,0.119968,-1.17549e-38,0.11248,0.0256277,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.142958,0.0288179,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00732868,0.0353981,0.0609435
518.7576,0.0468297,-1.17549e-38,0.15316,0.0656451,0.10099,-1.17549e-38,0.133687,0.0299155,-1.17549e-38,0.0314505,-1.17549e-38,0.138166,0.0291198,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00278653,0.0125019,0.0343801
519.2397,0.0432845,0.0156759,0.154497,0.083446,0.0617658,-1.17549e-38,0.14742,0.0144789,-1.17549e-38,0.060846,-1.17549e-38,0.120302,0.0365071,0.00960122,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0149885
