Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
527.4357,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.110827,-1.17549e-38,0.0369136,0.214583,0.160546,0.0419476,-1.17549e-38,0.00560561
527.9178,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0871468,-1.17549e-38,-1.17549e-38,0.186076,0.174864,0.098588,0.0166061,0.0137731
528.4,-1.17549e-38,-1.17549e-38,0.0272565,0.0584864,-1.17549e-38,-1.17549e-38,0.135322,0.167837,0.145793,0.0700428,0.0446309
528.8821,-1.17549e-38,0.00933629,0.0637887,0.0258834,-1.17549e-38,-1.17549e-38,0.0721127,0.144754,0.182859,0.106088,0.0972824
529.3642,-1.17549e-38,0.00686471,0.0810806,-1.17549e-38,0.0125522,-1.17549e-38,0.0105333,0.114672,0.206745,0.117032,0.154293
529.8463,-1.17549e-38,-1.17549e-38,0.0617781,-1.17549e-38,0.0479641,-1.17549e-38,-1.17549e-38,0.0869003,0.211833,0.10769,0.188812
530.3284,-1.17549e-38,-1.17549e-38,0.0075411,-1.17549e-38,0.0728623,-1.17549e-38,-1.17549e-38,0.0662197,0.193233,0.0907021,0.178969
530.8105,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0845983,0.00644013,-1.17549e-38,0.0505415,0.151197,0.0774623,0.120749
531.2927,0.0033205,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0885613,0.0261509,-1.17549e-38,0.0336457,0.093083,0.0711946,0.0309404
531.7748,0.00319904,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.094429,0.0293938,-1.17549e-38,0.0113103,0.0310834,0.0668246,-1.17549e-38
532.2569,1.67534e-05,0.00706411,-1.17549e-38,-1.17549e-38,0.108332,0.0189721,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0567077,-1.17549e-38
532.739,-1.17549e-38,0.0641767,-1.17549e-38,-1.17549e-38,0.126372,0.00332218,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0371511,-1.17549e-38
533.2211,0.00344963,0.118021,-1.17549e-38,-1.17549e-38,0.134855,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0107565,-1.17549e-38
533.7032,0.00429254,0.154305,-1.17549e-38,0.00139876,0.118258,-1.17549e-38,0.0177467,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
534.1854,-1.17549e-38,0.165322,-1.17549e-38,0.0373762,0.0701823,0.0104483,0.0410941,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
534.6675,-1.17549e-38,0.15128,-1.17549e-38,0.0816493,4.73685e-06,0.0364565,0.0612782,2.60054e-05,-1.17549e-38,-1.17549e-38,-1.17549e-38
535.1496,-1.17549e-38,0.117884,-1.17549e-38,0.122905,-1.17549e-38,0.0628815,0.0751602,0.00176755,-1.17549e-38,-1.17549e-38,0.0169287
535.6317,-1.17549e-38,0.0723074,-1.17549e-38,0.151628,-1.17549e-38,0.0786183,0.0822898,-1.17549e-38,0.0439029,-1.17549e-38,0.0357549
536.1138,-1.17549e-38,0.0204425,-1.17549e-38,0.164705,-1.17549e-38,0.0751135,0.0833348,-1.17549e-38,0.0973879,-1.17549e-38,0.049998
536.5959,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.164696,-1.17549e-38,0.0500024,0.077374,-1.17549e-38,0.131179,-1.17549e-38,0.0615058
537.0781,-1.17549e-38,-1.17549e-38,0.0191797,0.154813,-1.17549e-38,0.00862942,0.0611068,-1.17549e-38,0.134254,-1.17549e-38,0.0674815
537.5602,-1.17549e-38,-1.17549e-38,0.0347541,0.134358,0.0627423,-1.17549e-38,0.0314937,-1.17549e-38,0.108097,-1.17549e-38,0.0626226
538.0423,-1.17549e-38,-1.17549e-38,0.0387733,0.0990347,0.118418,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0667132,-1.17549e-38,0.0438625
538.5244,0.00923543,-1.17549e-38,0.0348723,0.0462667,0.153189,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0302822,0.0231165,0.0144841
539.0065,0.0269725,-1.17549e-38,0.0269708,-1.17549e-38,0.168621,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0162874,0.0568556,-1.17549e-38
539.4886,0.0514104,0.0368246,0.0142955,-1.17549e-38,0.170257,-1.17549e-38,-1.17549e-38,0.0220848,0.0325351,0.0694657,-1.17549e-38
539.9708,0.0836863,0.102543,-1.17549e-38,-1.17549e-38,0.16289,-1.17549e-38,-1.17549e-38,0.0571758,0.0746325,0.0600827,-1.17549e-38
540.4529,0.114224,0.141038,-1.17549e-38,-1.17549e-38,0.148456,-1.17549e-38,-1.17549e-38,0.0912169,0.128181,0.0359474,-1.17549e-38
540.935,0.127946,0.144477,-1.17549e-38,-1.17549e-38,0.126789,0.0037007,-1.17549e-38,0.112735,0.174275,0.0103216,0.0227701
541.4171,0.114146,0.119996,-1.17549e-38,-1.17549e-38,0.0977811,-1.17549e-38,0.0199003,0.113796,0.196147,-1.17549e-38,0.0473927
541.8992,0.0739998,0.0840855,-1.17549e-38,-1.17549e-38,0.06316,-1.17549e-38,0.0261568,0.0946635,0.184771,0.00826724,0.0557506
542.3813,0.0206728,0.052378,-1.17549e-38,-1.17549e-38,0.0269194,-1.17549e-38,0.0126342,0.063189,0.141604,0.0419248,0.048133
542.8635,-1.17549e-38,0.0316286,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0295844,0.0775669,0.0882673,0.0343605
543.3456,-1.17549e-38,0.0186931,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000708237,0.00882469,0.130126,0.0270972
543.8277,-1.17549e-38,0.00606124,0.0177936,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.151233,0.0337183
544.3098,-1.17549e-38,-1.17549e-38,0.0605011,0.0307029,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.143568,0.051722
544.7919,-1.17549e-38,-1.17549e-38,0.0778311,0.0870923,-1.17549e-38,-1.17549e-38,0.0190502,-1.17549e-38,-1.17549e-38,0.110854,0.0701579
545.274,-1.17549e-38,-1.17549e-38,0.0712562,0.130182,-1.17549e-38,-1.17549e-38,0.0591314,-1.17549e-38,-1.17549e-38,0.0664965,0.07605
545.7562,0.00896484,-1.17549e-38,0.0476526,0.143624,0.00308676,-1.17549e-38,0.0978866,-1.17549e-38,-1.17549e-38,0.027034,0.0621856
546.2383,0.0132846,-1.17549e-38,0.0156707,0.124128,0.00664067,-1.17549e-38,0.126423,-1.17549e-38,-1.17549e-38,0.00451669,0.0317947
546.7204,0.0117039,-1.17549e-38,-1.17549e-38,0.0827754,0.00209212,-1.17549e-38,0.137564,-1.17549e-38,0.0238134,0.00201167,-1.17549e-38
547.2025,0.0100978,-1.17549e-38,-1.17549e-38,0.0386356,-1.17549e-38,0.0169608,0.127377,-1.17549e-38,0.04944,0.0143678,-1.17549e-38
547.6846,0.0146667,-1.17549e-38,-1.17549e-38,0.00981164,-1.17549e-38,0.0443215,0.0969779,-1.17549e-38,0.0665704,0.0327632,-1.17549e-38
548.1667,0.029383,-1.17549e-38,-1.17549e-38,0.00704673,0.00124907,0.0626878,0.0535861,-1.17549e-38,0.0772473,0.04947,-1.17549e-38
