Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
951.2163,0.00968281,0.0103435,0.0128337,0.0172483,0.0229302,-1.17549e-38,-1.17549e-38,0.023627,0.00583958,0.0066833,-1.17549e-38,0.00166191,-1.17549e-38,0.0115394,-1.17549e-38,-1.17549e-38,0.00949687,-1.17549e-38,-1.17549e-38,0.0194836,0.0165268
951.6984,0.0117799,0.00934292,0.0162472,0.0147541,0.018048,-1.17549e-38,-1.17549e-38,0.0198614,0.00638537,0.00138003,-1.17549e-38,0.00330408,-1.17549e-38,0.00833512,-1.17549e-38,-1.17549e-38,0.000495739,-1.17549e-38,-1.17549e-38,0.0213107,0.0096354
952.1805,0.0125834,0.00844812,0.0164734,0.0107369,0.0134969,-1.17549e-38,-1.17549e-38,0.0147567,0.00628328,-1.17549e-38,-1.17549e-38,0.00676445,-1.17549e-38,0.00420101,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0225554,0.00115329
952.6627,0.0129748,0.00900015,0.012641,0.00638628,0.00970995,-1.17549e-38,-1.17549e-38,0.0109584,0.00623199,-1.17549e-38,-1.17549e-38,0.010706,-1.17549e-38,1.59611e-05,-1.17549e-38,0.00112218,-1.17549e-38,-1.17549e-38,0.00389282,0.0240423,-1.17549e-38
953.1448,0.013055,0.0109271,0.00613512,0.00232374,0.00666474,-1.17549e-38,-1.17549e-38,0.010076,0.00637427,-1.17549e-38,-1.17549e-38,0.0131974,0.00231909,-1.17549e-38,-1.17549e-38,0.00289998,-1.17549e-38,-1.17549e-38,0.00779992,0.0262726,-1.17549e-38
953.6269,0.0120329,0.01314,0.000161153,-1.17549e-38,0.00416913,-1.17549e-38,-1.17549e-38,0.0118848,0.00653824,-1.17549e-38,-1.17549e-38,0.0126595,0.00368576,-1.17549e-38,-1.17549e-38,0.00222626,-1.17549e-38,-1.17549e-38,0.00836971,0.029118,-1.17549e-38
954.109,0.0089904,0.0144827,-1.17549e-38,-1.17549e-38,0.00205577,-1.17549e-38,-1.17549e-38,0.014658,0.00648258,-1.17549e-38,0.00243653,0.00874442,0.00221098,-1.17549e-38,-1.17549e-38,0.000854269,-1.17549e-38,-1.17549e-38,0.00588171,0.031731,-1.17549e-38
954.5911,0.00382779,0.0144796,0.00113674,-1.17549e-38,0.000197098,-1.17549e-38,-1.17549e-38,0.0164172,0.00592817,-1.17549e-38,0.00360789,0.00269359,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000241603,-1.17549e-38,0.00084578,0.001621,0.0327955,-1.17549e-38
955.0732,-1.17549e-38,0.0133837,0.00825383,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0162185,0.0045203,-1.17549e-38,0.00488101,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000643297,-1.17549e-38,0.0027866,-1.17549e-38,0.0311096,0.00305479
955.5554,-1.17549e-38,0.01162,0.0161423,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0145803,0.00197511,-1.17549e-38,0.00715437,-1.17549e-38,-1.17549e-38,0.00140859,-1.17549e-38,0.00115402,-1.17549e-38,0.00507196,-1.17549e-38,0.0262801,0.00714313
956.0375,-1.17549e-38,0.00918136,0.0214692,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00484975,0.0128228,-1.17549e-38,-1.17549e-38,0.0100484,-1.17549e-38,-1.17549e-38,0.00295166,-1.17549e-38,0.000610358,0.00458027,0.00808907,-1.17549e-38,0.01915,0.00774584
956.5196,-1.17549e-38,0.0055332,0.0224814,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.010463,0.0119141,-1.17549e-38,-1.17549e-38,0.0121278,-1.17549e-38,-1.17549e-38,0.00292789,-1.17549e-38,-1.17549e-38,0.0133747,0.0112509,-1.17549e-38,0.0116322,0.00494235
957.0017,-1.17549e-38,0.000145171,0.0195741,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0149553,0.0117374,-1.17549e-38,-1.17549e-38,0.0119707,0.00256911,0.00169933,0.00147426,0.000790619,-1.17549e-38,0.0186807,0.0131172,0.00328432,0.00592086,0.000343667
957.4838,-1.17549e-38,-1.17549e-38,0.0146259,0.00209034,-1.17549e-38,-1.17549e-38,0.0171767,0.0112822,-1.17549e-38,-1.17549e-38,0.00928714,0.00430694,0.00681007,-1.17549e-38,0.00526859,-1.17549e-38,0.0193575,0.012204,0.0101483,0.00344843,-1.17549e-38
957.9659,-1.17549e-38,-1.17549e-38,0.00975389,0.0091247,-1.17549e-38,-1.17549e-38,0.0165468,0.00949863,-1.17549e-38,-1.17549e-38,0.00526641,0.00232874,0.00851239,-1.17549e-38,0.00790963,-1.17549e-38,0.01584,0.00798072,0.0160312,0.0041815,-1.17549e-38
958.4481,-1.17549e-38,-1.17549e-38,0.00631517,0.0115659,0.00595015,0.00206728,0.0132938,0.00608509,-1.17549e-38,0.00347943,0.00192118,-1.17549e-38,0.00671876,-1.17549e-38,0.00957588,-1.17549e-38,0.00982365,0.00142274,0.0188544,0.00671058,-1.17549e-38
958.9302,-1.17549e-38,-1.17549e-38,0.00458615,0.00989696,0.0119628,0.00365423,0.00826229,0.0016378,-1.17549e-38,0.00792932,0.00091408,-1.17549e-38,0.00331033,-1.17549e-38,0.011281,-1.17549e-38,0.00348774,-1.17549e-38,0.0173852,0.00910927,-1.17549e-38
959.4123,-1.17549e-38,-1.17549e-38,0.00403044,0.00645667,0.0158776,0.00550075,0.0025238,-1.17549e-38,-1.17549e-38,0.0100015,0.00266863,-1.17549e-38,0.000837359,-1.17549e-38,0.0134459,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0117303,0.010026,-1.17549e-38
959.8944,0.00228734,-1.17549e-38,0.00380189,0.00403785,0.0166455,0.00888838,-1.17549e-38,-1.17549e-38,0.00267917,0.00939069,0.00628573,-1.17549e-38,0.000909886,-1.17549e-38,0.0157417,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00325395,0.00929919,0.000525703
960.3765,0.00471644,-1.17549e-38,0.00318597,0.00449006,0.0146576,0.0142299,-1.17549e-38,-1.17549e-38,0.00607247,0.00646346,0.0101909,0.00217551,0.00330794,-1.17549e-38,0.017403,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00772579,0.000396847
960.8586,0.00508052,-1.17549e-38,0.00185775,0.00806742,0.0114561,0.020435,-1.17549e-38,-1.17549e-38,0.00825361,0.00199293,0.0129956,0.00841678,0.00629608,-1.17549e-38,0.017646,-1.17549e-38,0.00112782,0.00173624,-1.17549e-38,0.00623975,-1.17549e-38
961.3408,0.00388421,0.000111677,-1.17549e-38,0.0136668,0.00876178,0.0252387,-1.17549e-38,-1.17549e-38,0.00772597,-1.17549e-38,0.0140418,0.0118418,0.00781874,-1.17549e-38,0.0159651,0.00398834,0.00513088,0.00845541,-1.17549e-38,0.00519996,-1.17549e-38
961.8229,0.00218638,0.00432294,-1.17549e-38,0.0195751,0.00744758,0.0263475,-1.17549e-38,-1.17549e-38,0.00346686,-1.17549e-38,0.0134283,0.011423,0.00674284,-1.17549e-38,0.012327,0.0106604,0.00792935,0.0122624,-1.17549e-38,0.0043597,-1.17549e-38
962.305,0.0010248,0.00785722,-1.17549e-38,0.0242118,0.00710948,0.0227191,0.00272165,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0116677,0.00818926,0.00339718,-1.17549e-38,0.00732065,0.0179697,0.00819713,0.0115967,-1.17549e-38,0.00347767,-1.17549e-38
962.7871,0.00101591,0.0101424,-1.17549e-38,0.026571,0.00647843,0.0152018,0.00856122,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00927077,0.004375,-1.17549e-38,0.0018838,0.00215467,0.0239108,0.00591813,0.00676624,-1.17549e-38,0.00293698,-1.17549e-38
963.2692,0.00229577,0.0101891,-1.17549e-38,0.0263422,0.00437109,0.00614659,0.0123812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0064849,0.0021336,-1.17549e-38,0.00350885,-1.17549e-38,0.0271804,0.00242341,-1.17549e-38,-1.17549e-38,0.00369566,-1.17549e-38
963.7513,0.00467761,0.00732836,-1.17549e-38,0.0238238,0.000562859,-1.17549e-38,0.0133192,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00327689,0.0026282,-1.17549e-38,0.0012395,-1.17549e-38,0.0276518,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00647718,-1.17549e-38
964.2335,0.00780455,0.00201009,0.00147347,0.0197283,-1.17549e-38,-1.17549e-38,0.0118822,-1.17549e-38,-1.17549e-38,0.0017025,-1.17549e-38,0.00583911,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0261006,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0108434,0.00159398
964.7156,0.0112003,-1.17549e-38,0.005273,0.0149377,-1.17549e-38,-1.17549e-38,0.00942034,-1.17549e-38,-1.17549e-38,0.00842437,-1.17549e-38,0.0108781,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.023508,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0150204,0.00367982
965.1977,0.0142937,-1.17549e-38,0.00906026,0.0102717,-1.17549e-38,-1.17549e-38,0.00712,-1.17549e-38,-1.17549e-38,0.0141283,-1.17549e-38,0.016408,-1.17549e-38,-1.17549e-38,0.000466963,0.0204497,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0168143,0.00462937
