Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
1573.1469,0.0159387,0.00680639,0.00691966,0.00863391,0.00704212,0.00598173,0.00896422,-1.17549e-38,0.00629606,-1.17549e-38,0.00386845,-1.17549e-38,0.00460536
1573.629,0.016861,0.00830182,0.00704523,0.0096486,0.00937928,0.0081894,0.0104974,0.000367365,0.00465328,-1.17549e-38,0.00326795,-1.17549e-38,0.00401712
1574.1111,0.0179631,0.00975712,0.00822422,0.0107702,0.0118833,0.0117053,0.0117528,0.000915899,0.0033613,-1.17549e-38,0.00250853,-1.17549e-38,0.00203712
1574.5933,0.0190022,0.01077,0.0101759,0.011622,0.0138354,0.0151549,0.0120342,0.00109158,0.00241034,-1.17549e-38,0.00203762,0.00167567,-1.17549e-38
1575.0753,0.0195059,0.0111109,0.0127307,0.011558,0.0144738,0.0167808,0.0107845,0.0011274,0.00175271,0.00125878,0.00214623,0.00534833,-1.17549e-38
1575.5575,0.0188825,0.0109607,0.0156991,0.00996637,0.0131366,0.0149843,0.00775923,0.00145654,0.0014126,0.00280669,0.00287428,0.00904937,-1.17549e-38
1576.0396,0.0169256,0.0109777,0.0184996,0.00713644,0.00986135,0.0097854,0.00347059,0.00245866,0.00152927,0.00327923,0.00391926,0.0108843,-1.17549e-38
1576.5217,0.0143864,0.0117234,0.0202151,0.004702,0.00588626,0.00377024,-1.17549e-38,0.00400843,0.00220476,0.00179853,0.00483729,0.00947461,-1.17549e-38
1577.0038,0.0124146,0.0129839,0.0203895,0.00416825,0.00270113,-1.17549e-38,-1.17549e-38,0.00545775,0.00330111,-1.17549e-38,0.00550936,0.00554574,-1.17549e-38
1577.486,0.0115195,0.0141494,0.0192911,0.00555995,0.000864696,-1.17549e-38,-1.17549e-38,0.00617913,0.00450158,-1.17549e-38,0.00614347,0.000893438,0.00150663
1577.968,0.0115974,0.0148815,0.0173791,0.00801767,0.000267169,-1.17549e-38,-1.17549e-38,0.00582102,0.00545017,-1.17549e-38,0.00689467,-1.17549e-38,0.00495051
1578.4502,0.0124199,0.0151973,0.0149917,0.0106659,0.000744367,-1.17549e-38,-1.17549e-38,0.00425569,0.00577562,-1.17549e-38,0.00768586,-1.17549e-38,0.00740384
1578.9323,0.0138265,0.0152826,0.0124123,0.0128741,0.00217799,-1.17549e-38,-1.17549e-38,0.0016377,0.00514634,-1.17549e-38,0.00824939,-1.17549e-38,0.00906785
1579.4144,0.0156879,0.0153248,0.0100026,0.0142855,0.00429913,0.00106007,-1.17549e-38,-1.17549e-38,0.00347299,0.000881998,0.00826884,-1.17549e-38,0.0101086
1579.8965,0.0178355,0.0154033,0.00822137,0.0148349,0.00657127,0.00297624,0.0017506,-1.17549e-38,0.00115768,0.00413293,0.00757105,-1.17549e-38,0.0105975
1580.3787,0.0200523,0.0154582,0.00749163,0.0146843,0.00838764,0.00513509,0.00414076,-1.17549e-38,-1.17549e-38,0.0065161,0.00625394,-1.17549e-38,0.010522
1580.8607,0.0221179,0.0153448,0.00800751,0.0140235,0.00948781,0.00700822,0.00545673,-1.17549e-38,-1.17549e-38,0.00746553,0.00462498,-1.17549e-38,0.00984275
1581.3429,0.0238296,0.0149202,0.00961987,0.012881,0.0102018,0.00815901,0.00557555,-1.17549e-38,-1.17549e-38,0.00703948,0.00301126,-1.17549e-38,0.00860363
1581.825,0.0249607,0.0140978,0.0118431,0.0111305,0.0112547,0.00856234,0.0047848,0.000186008,0.00237319,0.00574983,0.00164095,-1.17549e-38,0.00705799
1582.3071,0.0252135,0.0128803,0.0139567,0.00869788,0.0132383,0.00860422,0.00355157,0.00212374,0.00609363,0.00421421,0.000684812,-1.17549e-38,0.00570282
1582.7892,0.0242588,0.0114004,0.0151962,0.00579608,0.0160976,0.00876638,0.00232654,0.0030399,0.00942891,0.00286789,0.000351281,-1.17549e-38,0.00511389
1583.2714,0.0218951,0.00994658,0.0150152,0.00298195,0.0190072,0.00925309,0.00147604,0.00305795,0.0113451,0.00186472,0.00086822,-1.17549e-38,0.00561171
1583.7534,0.0182546,0.00890348,0.0133161,0.000961801,0.0207812,0.00986979,0.00129304,0.0027184,0.0114146,0.00117755,0.00229717,-1.17549e-38,0.00697595
1584.2356,0.0139262,0.00858758,0.0105269,0.000261856,0.0205771,0.0102415,0.00197477,0.00263679,0.00989304,0.0007891,0.00431125,-1.17549e-38,0.00845317
1584.7177,0.00988637,0.00906272,0.00747058,0.000963868,0.0184245,0.0101492,0.00351175,0.00321433,0.00748522,0.00080757,0.00615599,-1.17549e-38,0.0091024
1585.1998,0.00721625,0.0100749,0.0050679,0.00264009,0.0152291,0.00967678,0.00556545,0.00450177,0.00498973,0.00140973,0.00691777,0.000263985,0.00827923
1585.6819,0.00669986,0.0111835,0.0039734,0.00450679,0.0122398,0.00906143,0.00749163,0.00620186,0.0030089,0.00265818,0.00600316,0.000192187,0.00596271
1586.1641,0.00849636,0.0120133,0.00429566,0.00572511,0.010317,0.00842475,0.0085914,0.00776951,0.00181765,0.00434887,0.0035348,-1.17549e-38,0.00273376
1586.6461,0.0120692,0.0124353,0.00554374,0.00573106,0.00948649,0.00766343,0.00847772,0.00858749,0.00139445,0.00603042,0.000370699,-1.17549e-38,-1.17549e-38
1587.1283,0.0164019,0.0125346,0.00684283,0.00447981,0.00906993,0.00660305,0.00730968,0.00819237,0.00155131,0.00720189,-1.17549e-38,-1.17549e-38,-1.17549e-38
1587.6104,0.0203589,0.0124206,0.0073255,0.0025223,0.00826369,0.00524194,0.00571176,0.00648909,0.0020741,0.00755556,-1.17549e-38,-1.17549e-38,-1.17549e-38
1588.0925,0.0230032,0.0120838,0.00652122,0.000859135,0.00672749,0.00381773,0.00441591,0.00385786,0.00280335,0.00710452,-1.17549e-38,-1.17549e-38,-1.17549e-38
