Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
536.1138,0.0370292,-1.17549e-38,-1.17549e-38,0.170901,-1.17549e-38,0.0189885,0.0200148,-1.17549e-38,0.169206,0.110237,0.101889,0.0688813
536.5959,0.0682625,-1.17549e-38,-1.17549e-38,0.158191,-1.17549e-38,0.00541709,0.0107164,-1.17549e-38,0.177681,0.0728787,0.123981,0.0776954
537.0781,0.0798087,-1.17549e-38,-1.17549e-38,0.115371,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.15207,0.0294587,0.121792,0.0885819
537.5602,0.0679746,-1.17549e-38,-1.17549e-38,0.0598582,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0991094,-1.17549e-38,0.102809,0.102899
538.0423,0.0382137,-1.17549e-38,-1.17549e-38,0.010978,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0360323,-1.17549e-38,0.0775184,0.118796
538.5244,0.0013834,-1.17549e-38,0.031373,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00607843,0.0543161,0.1316
539.0065,-1.17549e-38,-1.17549e-38,0.0955698,-1.17549e-38,0.0191681,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0254438,0.0372124,0.135912
539.4886,-1.17549e-38,-1.17549e-38,0.128453,-1.17549e-38,0.0326543,-1.17549e-38,0.00741389,0.00231856,-1.17549e-38,0.0376343,0.026384,0.128031
539.9708,-1.17549e-38,-1.17549e-38,0.125094,-1.17549e-38,0.027541,-1.17549e-38,0.017492,0.0209477,-1.17549e-38,0.0368589,0.0198713,0.10732
540.4529,-1.17549e-38,-1.17549e-38,0.0957572,-1.17549e-38,0.00736318,-1.17549e-38,0.0069,0.0428615,-1.17549e-38,0.0272881,0.0148364,0.0761243
540.935,-1.17549e-38,-1.17549e-38,0.0595638,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0569533,-1.17549e-38,0.0184046,0.00814236,0.038905
541.4171,0.00575391,-1.17549e-38,0.0345002,-1.17549e-38,-1.17549e-38,0.00238109,-1.17549e-38,0.0562181,0.00338962,0.0174639,-1.17549e-38,0.00144843
541.8992,0.0338451,0.0095048,0.0292054,-1.17549e-38,-1.17549e-38,0.0088904,-1.17549e-38,0.0436174,0.0114276,0.0247477,-1.17549e-38,-1.17549e-38
542.3813,0.0528133,0.0459744,0.0404648,-1.17549e-38,-1.17549e-38,0.0169412,-1.17549e-38,0.0315963,0.0149625,0.0344483,-1.17549e-38,-1.17549e-38
542.8635,0.0586125,0.0605379,0.0569034,-1.17549e-38,-1.17549e-38,0.0252486,-1.17549e-38,0.0350824,0.0138238,0.0393107,-1.17549e-38,-1.17549e-38
543.3456,0.0528351,0.0503181,0.0661218,-1.17549e-38,0.0143219,0.0318894,-1.17549e-38,0.0619767,0.00884917,0.0347196,-1.17549e-38,-1.17549e-38
543.8277,0.0416825,0.02752,0.0612033,-1.17549e-38,0.0331881,0.0349525,-1.17549e-38,0.106828,0.00310463,0.0195209,-1.17549e-38,-1.17549e-38
544.3098,0.0321284,0.0126927,0.043594,-1.17549e-38,0.0459389,0.0331463,-1.17549e-38,0.151679,0.0011887,-1.17549e-38,-1.17549e-38,0.0166498
544.7919,0.0276104,0.0223469,0.0216691,-1.17549e-38,0.0555781,0.0261096,-1.17549e-38,0.174315,0.00678652,-1.17549e-38,0.00915478,0.0295225
545.274,0.0261059,0.0585474,0.0062388,-1.17549e-38,0.0672532,0.0144778,-1.17549e-38,0.160278,0.0203268,-1.17549e-38,0.00831956,0.0246558
545.7562,0.0220646,0.107097,0.00520216,-1.17549e-38,0.0840526,-1.17549e-38,-1.17549e-38,0.112187,0.0385145,-1.17549e-38,-1.17549e-38,0.00629938
546.2383,0.0110898,0.1458,0.0197491,-1.17549e-38,0.103606,-1.17549e-38,-1.17549e-38,0.0499243,0.055917,-1.17549e-38,-1.17549e-38,-1.17549e-38
546.7204,-1.17549e-38,0.157507,0.0438618,-1.17549e-38,0.117914,-1.17549e-38,0.0231035,9.11778e-05,0.0671974,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.2025,-1.17549e-38,0.139169,0.0672176,-1.17549e-38,0.117072,-1.17549e-38,0.0704878,-1.17549e-38,0.0685743,-1.17549e-38,-1.17549e-38,0.00540746
547.6846,-1.17549e-38,0.101647,0.0798073,-1.17549e-38,0.0949399,-1.17549e-38,0.102407,-1.17549e-38,0.0584933,-1.17549e-38,-1.17549e-38,0.0474691
548.1667,-1.17549e-38,0.0621506,0.0760252,-1.17549e-38,0.0534846,-1.17549e-38,0.112637,0.0193514,0.0384267,-1.17549e-38,-1.17549e-38,0.0974545
548.6489,-1.17549e-38,0.0352687,0.0567356,-1.17549e-38,0.00335019,-1.17549e-38,0.101581,0.0405837,0.0138848,0.042441,0.0301943,0.139453
549.131,0.018022,0.0274364,0.0287898,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0751833,0.0434344,-1.17549e-38,0.0657821,0.0573991,0.163231
549.6131,0.026552,0.0362893,0.00212504,0.00392178,-1.17549e-38,0.000207995,0.0426467,0.0291941,-1.17549e-38,0.0640837,0.0635828,0.168529
550.0952,0.0128872,0.053794,-1.17549e-38,0.0160972,-1.17549e-38,-1.17549e-38,0.0133024,0.00973302,0.00358942,0.0425818,0.0561761,0.16273
550.5773,-1.17549e-38,0.0709016,-1.17549e-38,0.0302517,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.033067,0.0114839,0.0494072,0.153767
551.0594,-1.17549e-38,0.0814594,-1.17549e-38,0.0471342,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0643234,-1.17549e-38,0.0551779,0.143797
551.5416,-1.17549e-38,0.0839349,-1.17549e-38,0.0586706,0.0120608,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0819252,-1.17549e-38,0.0765245,0.128575
552.0237,-1.17549e-38,0.0807265,-1.17549e-38,0.0548594,0.0173277,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0762777,-1.17549e-38,0.107137,0.102612
552.5058,-1.17549e-38,0.0757977,-1.17549e-38,0.032833,0.00975863,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0481092,-1.17549e-38,0.13596,0.0655214
552.9879,-1.17549e-38,0.071848,-1.17549e-38,0.00113541,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00702513,-1.17549e-38,0.153212,0.0244023
553.47,-1.17549e-38,0.0683622,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.15444,-1.17549e-38
553.9521,-1.17549e-38,0.0616917,-1.17549e-38,-1.17549e-38,0.000801637,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.141098,-1.17549e-38
554.4343,-1.17549e-38,0.0474743,0.00211818,-1.17549e-38,0.015877,0.00511791,0.00556459,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.118261,-1.17549e-38
554.9164,-1.17549e-38,0.0242078,0.0186826,0.0265858,0.0312177,0.0099015,0.0159795,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0914104,-1.17549e-38
555.3985,-1.17549e-38,-1.17549e-38,0.0265219,0.06096,0.0382997,0.0116688,0.0326105,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0642939,0.00823425
555.8806,-1.17549e-38,-1.17549e-38,0.0174706,0.0810891,0.0320312,0.0125035,0.0575862,-1.17549e-38,-1.17549e-38,0.0249789,0.0386585,0.0299119
556.3627,0.0334985,-1.17549e-38,-1.17549e-38,0.0820039,0.011481,0.0138146,0.0901446,-1.17549e-38,-1.17549e-38,0.064136,0.0151497,0.052092
556.8448,0.0683705,-1.17549e-38,-1.17549e-38,0.0669771,-1.17549e-38,0.0156854,0.124571,0.00518724,-1.17549e-38,0.0901408,-1.17549e-38,0.0761346
557.327,0.0829624,-1.17549e-38,-1.17549e-38,0.0429823,-1.17549e-38,0.0171343,0.150951,0.0464514,-1.17549e-38,0.09649,-1.17549e-38,0.102375
557.8091,0.0712008,0.00121836,-1.17549e-38,0.0163062,-1.17549e-38,0.0170705,0.15928,0.0833913,-1.17549e-38,0.0846108,-1.17549e-38,0.128186
558.2912,0.0396423,0.0270192,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0152786,0.144923,0.102831,-1.17549e-38,0.0633958,-1.17549e-38,0.148207
558.7733,0.00317431,0.048503,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0126976,0.112066,0.0985553,0.0340269,0.0446362,-1.17549e-38,0.156131
559.2554,-1.17549e-38,0.0653676,0.0209462,-1.17549e-38,-1.17549e-38,0.0107079,0.0727481,0.073678,0.0677459,0.0367453,-1.17549e-38,0.147058
559.7375,-1.17549e-38,0.0790794,0.0506458,-1.17549e-38,-1.17549e-38,0.00986717,0.0417288,0.0371916,0.0886156,0.0403997,-1.17549e-38,0.119834
560.2197,-1.17549e-38,0.0888069,0.0657156,-1.17549e-38,0.024479,0.00904153,0.0298972,-1.17549e-38,0.0949614,0.0486805,-1.17549e-38,0.0788297
560.7018,-1.17549e-38,0.0894694,0.0665697,-1.17549e-38,0.111925,0.00573694,0.0395724,-1.17549e-38,0.0917774,0.0515581,-1.17549e-38,0.0339747
561.1839,0.0106603,0.074053,0.0582336,-1.17549e-38,0.174521,-1.17549e-38,0.0638624,-1.17549e-38,0.0872654,0.041888,0.00991756,-1.17549e-38
561.666,0.0213896,0.0389914,0.046891,-1.17549e-38,0.196026,-1.17549e-38,0.0901194,-1.17549e-38,0.0870878,0.0192524,0.0231358,-1.17549e-38
562.1481,0.0267469,-1.17549e-38,0.0371927,-1.17549e-38,0.175559,-1.17549e-38,0.105704,-1.17549e-38,0.09051,-1.17549e-38,0.0253477,-1.17549e-38
562.6302,0.0319672,-1.17549e-38,0.0311598,-1.17549e-38,0.125852,-1.17549e-38,0.103474,-1.17549e-38,0.0913863,-1.17549e-38,0.0203658,-1.17549e-38
563.1124,0.043012,-1.17549e-38,0.0283824,-1.17549e-38,0.0655978,-1.17549e-38,0.0846909,-1.17549e-38,0.0833329,-1.17549e-38,0.0158349,0.013172
563.5945,0.0622282,-1.17549e-38,0.0269122,-1.17549e-38,0.0108417,-1.17549e-38,0.058057,0.0053957,0.0652435,-1.17549e-38,0.0184595,0.0131732
564.0766,0.0861927,-1.17549e-38,0.0244826,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0352582,0.0373213,0.0430057,-1.17549e-38,0.0299214,-1.17549e-38
564.5587,0.107203,-1.17549e-38,0.0197833,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0252099,0.0499283,0.0261761,-1.17549e-38,0.0461221,-1.17549e-38
565.0408,0.117596,-1.17549e-38,0.0133178,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0300173,0.042181,0.0221171,-1.17549e-38,0.0599351,-1.17549e-38
565.5229,0.11417,-1.17549e-38,0.00729458,0.0138211,-1.17549e-38,0.00192696,0.0446295,0.022894,0.0315965,-1.17549e-38,0.0653337,-1.17549e-38
566.0051,0.0999238,-1.17549e-38,0.00440761,0.0366634,-1.17549e-38,-1.17549e-38,0.0600117,0.00491927,0.048348,-1.17549e-38,0.0602886,-1.17549e-38
566.4872,0.0820138,0.00103517,0.0060922,0.0612155,-1.17549e-38,-1.17549e-38,0.0678918,-1.17549e-38,0.0624124,-1.17549e-38,0.0470019,-1.17549e-38
566.9693,0.067273,0.00820294,0.0113945,0.0858533,-1.17549e-38,-1.17549e-38,0.0645407,0.00188655,0.0651543,0.0070894,0.0296961,-1.17549e-38
567.4514,0.0583832,0.0141085,0.0173878,0.105123,-1.17549e-38,-1.17549e-38,0.0517593,0.0123906,0.0533006,0.0306458,0.0114853,-1.17549e-38
567.9335,0.0533941,0.0199124,0.0210091,0.112882,-1.17549e-38,-1.17549e-38,0.0349638,0.0218311,0.0301345,0.0421542,-1.17549e-38,0.0268829
568.4156,0.0486912,0.0261723,0.0210571,0.106054,-1.17549e-38,0.00848522,0.019957,0.0264226,0.00360326,0.0375624,-1.17549e-38,0.0605796
568.8978,0.0427638,0.0337163,0.0189068,0.0865742,0.011897,0.0357838,0.0103847,0.027061,-1.17549e-38,0.0180969,-1.17549e-38,0.0785572
569.3799,0.0375901,0.0431904,0.0174223,0.0605198,0.0544393,0.0602505,0.00691229,0.0269017,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0761062
569.862,0.0365538,0.0534918,0.0188205,0.0351233,0.0874768,0.0747983,0.00790816,0.0279582,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.055806
570.3441,0.0407805,0.0606469,0.0229574,0.0153505,0.108468,0.0758388,0.0107739,0.0294858,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0269392
570.8262,0.0471814,0.058662,0.0271811,0.00187854,0.119112,0.0646453,0.0131245,0.0288354,0.00221845,-1.17549e-38,-1.17549e-38,0.000731829
571.3083,0.0500656,0.0424928,0.0278106,-1.17549e-38,0.122617,0.0468356,0.0134591,0.0234227,0.0153365,-1.17549e-38,-1.17549e-38,-1.17549e-38
571.7905,0.0452357,0.0116583,0.0223245,-1.17549e-38,0.120903,0.0303086,0.0113493,0.0121896,0.0244206,-1.17549e-38,-1.17549e-38,-1.17549e-38
572.2726,0.0334825,-1.17549e-38,0.0110718,-1.17549e-38,0.113794,0.0223997,0.00728646,-1.17549e-38,0.0288443,-1.17549e-38,-1.17549e-38,-1.17549e-38
