Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb)
614.2167,0.0468193,0.0286345,0.107309,0.132453,0.0390462,0.013848,0.00966716,0.0223322,-1.17549e-38,0.0390318,0.00762472,0.0469968,0.0766789,0.00477403
614.6989,0.0311862,0.0263738,0.113593,0.113062,0.0340784,0.0105856,-1.17549e-38,0.0377223,-1.17549e-38,0.0363596,0.0141201,0.036397,0.074672,0.0146918
615.181,0.0195726,0.0194602,0.095305,0.088582,0.0207377,0.00364441,-1.17549e-38,0.0483072,-1.17549e-38,0.0317119,0.0232951,0.0221366,0.0616149,0.0257332
615.6631,0.0157284,0.013819,0.0575715,0.0674172,0.00197154,-1.17549e-38,-1.17549e-38,0.0510841,-1.17549e-38,0.027205,0.0306777,0.00981982,0.0410676,0.036365
616.1452,0.0191423,0.0135087,0.0103826,0.0559716,-1.17549e-38,-1.17549e-38,0.00717106,0.0461323,0.00529226,0.024934,0.0321834,0.00289106,0.0190715,0.045642
616.6273,0.0260156,0.0184378,-1.17549e-38,0.0556205,-1.17549e-38,-1.17549e-38,0.0322914,0.0364863,0.0140049,0.0257875,0.0264546,0.00230172,0.00134104,0.0521754
617.1094,0.0318587,0.0244524,-1.17549e-38,0.0621374,-1.17549e-38,-1.17549e-38,0.0588926,0.0266609,0.00488351,0.0285341,0.0159904,0.00706508,-1.17549e-38,0.0535955
617.5916,0.034212,0.0260312,-1.17549e-38,0.0683619,-1.17549e-38,-1.17549e-38,0.0783483,0.0201618,-1.17549e-38,0.0301682,0.00605784,0.0151273,-1.17549e-38,0.0475349
618.0737,0.0335413,0.0201314,-1.17549e-38,0.0688025,-1.17549e-38,-1.17549e-38,0.0853753,0.0174076,-1.17549e-38,0.0278113,0.00147637,0.0241407,-1.17549e-38,0.0336486
618.5558,0.0315527,0.00820286,-1.17549e-38,0.0625595,-1.17549e-38,-1.17549e-38,0.0805887,0.0158575,-1.17549e-38,0.0207989,0.00346285,0.031903,-1.17549e-38,0.0147074
619.0379,0.0287109,-1.17549e-38,-1.17549e-38,0.0521474,-1.17549e-38,0.00395593,0.0689056,0.0123096,0.0191528,0.0110643,0.00908231,0.0365287,-1.17549e-38,-1.17549e-38
619.52,0.0234552,-1.17549e-38,0.0102837,0.0399647,-1.17549e-38,0.00877991,0.0557494,0.00530765,0.0533598,0.00166485,0.0133642,0.0366859,-1.17549e-38,-1.17549e-38
620.0021,0.0136441,-1.17549e-38,0.0328597,0.0259295,-1.17549e-38,0.0126568,0.044352,-1.17549e-38,0.0813592,-1.17549e-38,0.0121669,0.0321155,-1.17549e-38,-1.17549e-38
620.4843,-1.17549e-38,-1.17549e-38,0.0397639,0.00799368,-1.17549e-38,0.0135763,0.0353159,-1.17549e-38,0.0934553,-1.17549e-38,0.00425552,0.0241852,-1.17549e-38,-1.17549e-38
620.9664,-1.17549e-38,-1.17549e-38,0.0312882,-1.17549e-38,0.00901035,0.0102235,0.0276611,-1.17549e-38,0.0868977,-1.17549e-38,-1.17549e-38,0.0158331,-1.17549e-38,-1.17549e-38
621.4485,-1.17549e-38,0.00115465,0.0146157,-1.17549e-38,0.0269797,0.00337219,0.0202057,-1.17549e-38,0.0662219,-1.17549e-38,-1.17549e-38,0.0103917,-1.17549e-38,-1.17549e-38
621.9306,-1.17549e-38,0.0129251,0.000547633,-1.17549e-38,0.0414764,-1.17549e-38,0.012501,-1.17549e-38,0.0401749,-1.17549e-38,-1.17549e-38,0.00969017,-1.17549e-38,-1.17549e-38
622.4127,-1.17549e-38,0.0235336,-1.17549e-38,-1.17549e-38,0.0500309,-1.17549e-38,0.00507716,-1.17549e-38,0.0170008,-1.17549e-38,-1.17549e-38,0.0127772,-1.17549e-38,-1.17549e-38
622.8948,-1.17549e-38,0.0312245,0.00741047,-1.17549e-38,0.0525793,-1.17549e-38,-1.17549e-38,0.00367452,0.00103405,-1.17549e-38,-1.17549e-38,0.0163612,-1.17549e-38,-1.17549e-38
623.377,-1.17549e-38,0.0352117,0.0243489,-1.17549e-38,0.0508414,0.00586912,-1.17549e-38,0.00834619,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0166973,-1.17549e-38,-1.17549e-38
623.8591,-1.17549e-38,0.0361284,0.0393477,-1.17549e-38,0.0467544,0.0191517,-1.17549e-38,0.00755343,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0115986,-1.17549e-38,0.00525563
624.3412,-1.17549e-38,0.0357577,0.0450375,-1.17549e-38,0.0411471,0.0310817,-1.17549e-38,6.71668e-05,-1.17549e-38,-1.17549e-38,0.00394945,0.00132778,0.00366738,0.0159108
624.8233,-1.17549e-38,0.035799,0.0392912,0.0192508,0.0335382,0.0375189,0.00240619,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00515932,-1.17549e-38,0.00223562,0.0252273
625.3054,-1.17549e-38,0.0363335,0.0253479,0.0350601,0.0231319,0.0368952,0.000844266,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00631273,-1.17549e-38,-1.17549e-38,0.0293711
625.7875,0.00170544,0.035282,0.00895067,0.0493002,0.0102343,0.0307559,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0103588,-1.17549e-38,-1.17549e-38,0.0260467
626.2697,0.00817036,0.0296311,-1.17549e-38,0.0645181,-1.17549e-38,0.0226707,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0183198,-1.17549e-38,-1.17549e-38,0.0160545
626.7518,0.0108267,0.0177683,-1.17549e-38,0.0800052,-1.17549e-38,0.0162634,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0285961,-1.17549e-38,-1.17549e-38,0.00326694
627.2339,0.00804992,0.00125331,-1.17549e-38,0.092378,-1.17549e-38,0.0135301,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0377551,-1.17549e-38,0.00229248,-1.17549e-38
627.716,0.000388293,-1.17549e-38,-1.17549e-38,0.0985749,-1.17549e-38,0.0142427,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0421493,-1.17549e-38,0.0146285,-1.17549e-38
628.1981,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0985882,0.00064354,0.0165118,-1.17549e-38,0.018744,-1.17549e-38,-1.17549e-38,0.039486,-1.17549e-38,0.0286595,-1.17549e-38
