Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
517.7934,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0556525,0.0103279,0.0306296,0.0542781,0.00308643,0.0413162,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0660781
518.2755,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0246744,0.00275167,0.00313499,0.0308749,-1.17549e-38,0.0367261,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0585741
518.7576,-1.17549e-38,-1.17549e-38,0.030277,-1.17549e-38,-1.17549e-38,0.00212602,-1.17549e-38,-1.17549e-38,0.0123777,-1.17549e-38,0.032672,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0426549
519.2397,-1.17549e-38,-1.17549e-38,0.0912008,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0323285,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0248843
519.7219,-1.17549e-38,-1.17549e-38,0.13628,-1.17549e-38,0.0273426,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0336598,-1.17549e-38,0.0137265,-1.17549e-38,0.0100268
520.204,-1.17549e-38,0.00253366,0.156452,-1.17549e-38,0.0921305,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0316309,-1.17549e-38,0.0299656,-1.17549e-38,0.000319284
520.6861,-1.17549e-38,0.0185639,0.151637,-1.17549e-38,0.140188,-1.17549e-38,-1.17549e-38,0.010418,-1.17549e-38,-1.17549e-38,0.0220905,-1.17549e-38,0.0331974,-1.17549e-38,-1.17549e-38
521.1682,-1.17549e-38,0.0409122,0.129387,-1.17549e-38,0.157858,-1.17549e-38,-1.17549e-38,0.0452788,-1.17549e-38,-1.17549e-38,0.00473928,-1.17549e-38,0.0242314,-1.17549e-38,0.0028044
521.6503,-1.17549e-38,0.0684532,0.100509,-1.17549e-38,0.140747,-1.17549e-38,-1.17549e-38,0.0646419,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0092769,-1.17549e-38,0.0196839
522.1324,0.00564381,0.0957482,0.0740978,-1.17549e-38,0.0942009,-1.17549e-38,-1.17549e-38,0.0629676,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.047518
522.6146,0.0128699,0.115227,0.0541727,-1.17549e-38,0.0313803,0.015758,0.0219744,0.0451158,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0806789
523.0967,0.0199342,0.121397,0.0392267,-1.17549e-38,-1.17549e-38,0.0371176,0.0413377,0.0217434,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00264787,0.108835
523.5788,0.0314843,0.113944,0.0248429,0.0266904,-1.17549e-38,0.054543,0.0386603,0.00205065,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.010697,-1.17549e-38,0.0131101,0.121384
524.0609,0.0480034,0.0970709,0.00787371,0.0461477,-1.17549e-38,0.0602513,0.0224778,-1.17549e-38,0.0126489,0.00956438,-1.17549e-38,0.0197961,-1.17549e-38,0.0197288,0.112887
524.543,0.0642155,0.0755329,-1.17549e-38,0.0526748,-1.17549e-38,0.051713,0.00294991,-1.17549e-38,0.0432884,0.0426087,-1.17549e-38,0.0222676,-1.17549e-38,0.0191754,0.0857978
525.0251,0.0713044,0.0505557,-1.17549e-38,0.0482482,-1.17549e-38,0.0327224,-1.17549e-38,-1.17549e-38,0.058567,0.0593382,-1.17549e-38,0.017749,-1.17549e-38,0.0102529,0.0489068
525.5073,0.0621547,0.0191304,-1.17549e-38,0.0345681,-1.17549e-38,0.011139,-1.17549e-38,-1.17549e-38,0.0586724,0.0604864,-1.17549e-38,0.00987774,-1.17549e-38,-1.17549e-38,0.0125802
525.9894,0.0368801,-1.17549e-38,-1.17549e-38,0.0139952,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0476733,0.0491313,-1.17549e-38,0.00398054,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.4715,0.00453761,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.03139,0.0284588,-1.17549e-38,0.00363616,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.9536,-1.17549e-38,-1.17549e-38,0.000230465,-1.17549e-38,0.0168645,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0145027,0.00142811,-1.17549e-38,0.00892733,-1.17549e-38,-1.17549e-38,-1.17549e-38
527.4357,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0627592,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0175797,0.0298641,-1.17549e-38,-1.17549e-38
527.9178,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0978827,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0272377,0.0674772,-1.17549e-38,-1.17549e-38
528.4,0.00695635,-1.17549e-38,-1.17549e-38,0.021925,0.112994,-1.17549e-38,0.0122012,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0364937,0.0852419,-1.17549e-38,-1.17549e-38
528.8821,0.0331265,-1.17549e-38,-1.17549e-38,0.0619116,0.103658,-1.17549e-38,0.0290766,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0133639,0.0441775,0.0852999,-1.17549e-38,-1.17549e-38
529.3642,0.0474902,-1.17549e-38,-1.17549e-38,0.0982091,0.0715265,-1.17549e-38,0.0342028,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0277147,0.0482391,0.0766926,-1.17549e-38,-1.17549e-38
529.8463,0.0415067,-1.17549e-38,-1.17549e-38,0.120298,0.0237577,-1.17549e-38,0.0219483,-1.17549e-38,-1.17549e-38,0.0355941,0.0323013,0.0457957,0.0677457,-1.17549e-38,0.0316439
530.3284,0.014213,-1.17549e-38,0.00434464,0.122663,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0139089,-1.17549e-38,0.0744912,0.0312196,0.0346886,0.0600358,-1.17549e-38,0.074016
530.8105,-1.17549e-38,0.0193319,0.0271657,0.106488,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0350942,-1.17549e-38,0.0914934,0.0308732,0.0153164,0.0484555,-1.17549e-38,0.105338
531.2927,-1.17549e-38,0.0428797,0.0490802,0.0782674,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0493041,-1.17549e-38,0.0825701,0.0353544,-1.17549e-38,0.0271471,0.0136261,0.117874
531.7748,-1.17549e-38,0.0593665,0.0703802,0.0464535,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0528202,-1.17549e-38,0.0563756,0.0433192,-1.17549e-38,-1.17549e-38,0.0251508,0.109216
532.2569,-1.17549e-38,0.0676379,0.0913966,0.0181261,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0470162,0.00182899,0.0285776,0.04845,-1.17549e-38,-1.17549e-38,0.0336183,0.0831703
532.739,-1.17549e-38,0.0672647,0.110202,-1.17549e-38,0.00792476,-1.17549e-38,-1.17549e-38,0.0366955,0.0272649,0.0126934,0.0434023,-1.17549e-38,-1.17549e-38,0.0398128,0.0487236
533.2211,-1.17549e-38,0.059664,0.122342,-1.17549e-38,0.0603391,-1.17549e-38,0.0126897,0.0264293,0.0484475,0.0132582,0.0249087,-1.17549e-38,-1.17549e-38,0.0434279,0.0170529
533.7032,-1.17549e-38,0.047763,0.122574,-1.17549e-38,0.0877163,0.00185158,0.0288582,0.0173686,0.0629339,0.0250464,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0435741,-1.17549e-38
534.1854,-1.17549e-38,0.0345463,0.107324,-1.17549e-38,0.0774672,0.029286,0.0224094,0.00660286,0.068526,0.0376763,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0400732,-1.17549e-38
534.6675,-1.17549e-38,0.0219269,0.0765714,-1.17549e-38,0.0321484,0.0588645,-1.17549e-38,-1.17549e-38,0.0639819,0.0416528,-1.17549e-38,-1.17549e-38,0.0339305,0.033846,0.000837564
535.1496,0.0482356,0.0109501,0.0345457,0.00754594,-1.17549e-38,0.0833767,-1.17549e-38,-1.17549e-38,0.0502461,0.0320874,-1.17549e-38,0.0161391,0.0668848,0.0257121,0.0124223
535.6317,0.122017,0.00288166,-1.17549e-38,0.0247189,-1.17549e-38,0.0979355,-1.17549e-38,-1.17549e-38,0.0310623,0.00914305,-1.17549e-38,0.0405196,0.0914047,0.0148534,0.0188182
536.1138,0.179364,-1.17549e-38,-1.17549e-38,0.0393371,-1.17549e-38,0.101948,-1.17549e-38,-1.17549e-38,0.0118787,-1.17549e-38,-1.17549e-38,0.0609004,0.10696,-1.17549e-38,0.0144548
536.5959,0.206809,0.00306032,-1.17549e-38,0.0475842,-1.17549e-38,0.0980123,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0746396,0.113815,-1.17549e-38,-1.17549e-38
537.0781,0.199079,0.0120891,-1.17549e-38,0.0486917,-1.17549e-38,0.0890318,0.0207399,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0797177,0.111767,-1.17549e-38,-1.17549e-38
537.5602,0.1615,0.0224115,-1.17549e-38,0.0452958,-1.17549e-38,0.0761204,0.0468391,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000573129,0.0752555,0.100924,-1.17549e-38,-1.17549e-38
538.0423,0.106985,0.0275957,-1.17549e-38,0.0412927,0.010489,0.0588983,0.0549918,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00414243,0.0624469,0.0833058,-1.17549e-38,-1.17549e-38
538.5244,0.0493319,0.0229,-1.17549e-38,0.0386145,0.0593819,0.0376057,0.0448255,0.011582,-1.17549e-38,-1.17549e-38,0.0064393,0.0452177,0.0635212,-1.17549e-38,-1.17549e-38
