Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
4662.0688,1.07873,1.93713,3.23893,5.11901,6.64903,8.65896,10.8326,12.5195,14.0171,15.098,15.8051,14.005,12.8544,11.0133,9.18223,6.95065,5.06981,3.52604,2.09376,1.34149,0.811583
4662.5508,1.08097,1.94662,3.26705,5.17405,6.71004,8.74559,10.9213,12.6288,14.1295,15.2068,15.9343,14.1275,12.9776,11.1397,9.27869,7.03063,5.13268,3.56763,2.1265,1.36001,0.817926
4663.0332,1.08092,1.96015,3.29492,5.22511,6.76998,8.83195,11.0115,12.7376,14.2428,15.3137,16.0618,14.2489,13.1064,11.2644,9.37204,7.11177,5.19513,3.60892,2.15607,1.37742,0.826879
4663.5151,1.07978,1.97779,3.3253,5.27252,6.82861,8.91641,11.1044,12.8439,14.3558,15.4212,16.1873,14.3689,13.2379,11.3834,9.46434,7.19331,5.2579,3.65042,2.18086,1.39186,0.838247
4663.9971,1.07886,1.99822,3.35936,5.31796,6.88646,8.99995,11.2,12.9474,14.4675,15.5317,16.3106,14.489,13.369,11.4971,9.55899,7.27543,5.32237,3.6937,2.20146,1.40315,0.851227
4664.4795,1.07945,2.02008,3.39598,5.36336,6.94521,9.08542,11.2978,13.0495,14.5778,15.6464,16.4309,14.6112,13.4982,11.6091,9.65936,7.35901,5.38955,3.74066,2.22032,1.41272,0.864505
4664.9614,1.08298,2.04268,3.43276,5.41,7.00717,9.17542,11.3971,13.1517,14.6876,15.7643,16.5472,14.7372,13.6249,11.7229,9.76694,7.4448,5.45921,3.79233,2.24037,1.42269,0.876681
4665.4434,1.09111,2.06568,3.46778,5.45829,7.07415,9.27027,11.4967,13.2548,14.7981,15.8824,16.6586,14.8665,13.7488,11.8394,9.88028,7.53252,5.52987,3.84806,2.26366,1.43469,0.886739
4665.9258,1.10542,2.08839,3.50082,5.50816,7.14605,9.36756,11.5953,13.3584,14.9101,15.9978,16.7659,14.9965,13.8693,11.9569,9.99545,7.62071,5.5995,3.90565,2.29052,1.44902,0.89426
4666.4077,1.12644,2.10966,3.53315,5.55959,7.22059,9.46343,11.6919,13.462,15.0229,16.1085,16.8714,15.1237,13.9861,12.0724,10.1079,7.70756,5.66668,3.96232,2.31986,1.46468,0.899249
