Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb)
558.2912,-1.17549e-38,0.0393732,0.000292515,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
558.7733,-1.17549e-38,0.0539662,0.00137436,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
559.2554,-1.17549e-38,0.0565396,0.00608768,0.00843788,0.00649366,-1.17549e-38,0.0119686,-1.17549e-38,-1.17549e-38
559.7375,-1.17549e-38,0.0457418,0.0103066,0.0317658,0.0213419,-1.17549e-38,0.0545171,-1.17549e-38,0.0253341
560.2197,-1.17549e-38,0.0302762,0.0107775,0.0566096,0.033745,0.0299789,0.0817511,-1.17549e-38,0.0497671
560.7018,-1.17549e-38,0.0225684,0.00664279,0.0735486,0.0442123,0.0693395,0.0876478,-1.17549e-38,0.0608944
561.1839,-1.17549e-38,0.0297918,-1.17549e-38,0.0752806,0.0523342,0.0964893,0.0747053,-1.17549e-38,0.0569275
561.666,-1.17549e-38,0.0486135,-1.17549e-38,0.0607465,0.0576457,0.107501,0.0507105,-1.17549e-38,0.0424359
562.1481,-1.17549e-38,0.0669921,-1.17549e-38,0.0360313,0.0601842,0.104679,0.0239735,-1.17549e-38,0.0252132
562.6302,-1.17549e-38,0.0713514,-1.17549e-38,0.0113143,0.0599555,0.096648,0.000370825,-1.17549e-38,0.0121597
563.1124,-1.17549e-38,0.05429,-1.17549e-38,-1.17549e-38,0.0559637,0.0935738,-1.17549e-38,-1.17549e-38,0.00647234
563.5945,-1.17549e-38,0.0183712,-1.17549e-38,-1.17549e-38,0.0462745,0.100158,-1.17549e-38,-1.17549e-38,0.00728006
564.0766,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0297506,0.111592,-1.17549e-38,-1.17549e-38,0.0112455
564.5587,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0099072,0.00829248,0.116138,-1.17549e-38,-1.17549e-38,0.0147249
565.0408,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0172073,-1.17549e-38,0.103091,0.0228959,-1.17549e-38,0.015324
565.5229,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0193633,-1.17549e-38,0.0706374,0.049431,0.00451879,0.0126125
566.0051,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0188776,-1.17549e-38,0.0280756,0.0666683,0.00934019,0.00833298
566.4872,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0207574,-1.17549e-38,-1.17549e-38,0.0674096,0.015784,0.0061969
566.9693,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0286507,0.00674523,-1.17549e-38,0.0508808,0.0277364,0.010845
567.4514,0.000108266,0.00305716,-1.17549e-38,0.0416775,0.0264363,-1.17549e-38,0.0227887,0.0455528,0.0256635
567.9335,0.00794333,0.0137143,-1.17549e-38,0.0540872,0.0392551,-1.17549e-38,-1.17549e-38,0.0651348,0.0501297
568.4156,0.0160107,0.018091,-1.17549e-38,0.0582401,0.0419476,0.00641825,-1.17549e-38,0.0795309,0.0783678
568.8978,0.03178,0.0192446,0.000286022,0.0492532,0.0346652,0.0199023,-1.17549e-38,0.0823795,0.100515
569.3799,0.0567782,0.0183485,0.00250886,0.0283958,0.0199167,0.0267291,-1.17549e-38,0.0714311,0.106983
569.862,0.0837594,0.0141497,0.00103503,0.00289673,0.00159948,0.0304148,-1.17549e-38,0.0502247,0.0935431
570.3441,0.100347,0.00476784,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0356618,-1.17549e-38,0.0268592,0.063977
570.8262,0.0969309,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.044907,-1.17549e-38,0.0103684,0.028279
571.3083,0.0733422,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0573592,0.0238166,0.00653491,-1.17549e-38
571.7905,0.0397753,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.070233,0.0427439,0.015234,-1.17549e-38
572.2726,0.0113381,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0807697,0.0523682,0.0306349,-1.17549e-38
572.7547,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0878484,0.053736,0.0442779,-1.17549e-38
573.2368,0.00684472,-1.17549e-38,0.0061812,-1.17549e-38,-1.17549e-38,0.0925392,0.051252,0.0494893,-1.17549e-38
